UniProt Name,UniProt Accession,UniProt gene,Ensembl Gene,CD,CSPA category,main functional class,Surfy,Surfy Score,surfy_class,uniprot_status,uniprot_current_accession,uniprot_current_entry_name,uniprot_primary_gene,gene_symbol_changed,foldable,class_conflict
ATLA2_HUMAN,Q8NHH9,ATL2,ENSG00000119787,,NA,Miscellaneous,nonsurface,0.1058,non_surface,active_reviewed,Q8NHH9,ATLA2_HUMAN,ATL2,no,yes,no
ATLA3_HUMAN,Q6DD88,ATL3,ENSG00000184743,,NA,Miscellaneous,nonsurface,0.0758,non_surface,active_reviewed,Q6DD88,ATLA3_HUMAN,ATL3,no,yes,no
ATMIN_HUMAN,O43313,ATMIN,ENSG00000166454,,NA,,,0.479,unclassified,active_reviewed,O43313,ATMIN_HUMAN,ATMIN,no,yes,no
ATNG_HUMAN,P54710,FXYD2,ENSG00000137731,,NA,Unclassified,nonsurface,0.1397,non_surface,active_reviewed,P54710,ATNG_HUMAN,FXYD2,no,yes,no
ATP4A_HUMAN,P20648,ATP4A,ENSG00000105675,,NA,Transporters,,0.505,unclassified,active_reviewed,P20648,ATP4A_HUMAN,ATP4A,no,yes,no
ATP4B_HUMAN,P51164,ATP4B,ENSG00000186009,,NA,Transporters,surface,0.6128,surface,active_reviewed,P51164,ATP4B_HUMAN,ATP4B,no,yes,no
ATP5I_HUMAN,P56385,ATP5I,ENSG00000169020,,NA,,nonsurface,0.0511,non_surface,active_reviewed,P56385,ATP5I_HUMAN,ATP5ME,yes,yes,no
ATP6_HUMAN,P00846,MT-ATP6,ENSG00000198899,,NA,Unclassified,nonsurface,0.3119,non_surface,active_reviewed,P00846,ATP6_HUMAN,MT-ATP6,no,yes,no
ATP7A_HUMAN,Q04656,ATP7A,ENSG00000165240,,NA,Transporters,,0.511,unclassified,active_reviewed,Q04656,ATP7A_HUMAN,ATP7A,no,yes,no
ATP7B_HUMAN,P35670,ATP7B,ENSG00000123191,,NA,Transporters,,0.4271,unclassified,active_reviewed,P35670,ATP7B_HUMAN,ATP7B,no,yes,no
ATP8_HUMAN,P03928,MT-ATP8,ENSG00000228253,,NA,Unclassified,nonsurface,0.289,non_surface,active_reviewed,P03928,ATP8_HUMAN,MT-ATP8,no,yes,no
ATP9A_HUMAN,O75110,ATP9A,ENSG00000054793,,NA,Transporters,nonsurface,0.3472,non_surface,active_reviewed,O75110,ATP9A_HUMAN,ATP9A,no,yes,no
ATP9B_HUMAN,O43861,ATP9B,ENSG00000166377,,NA,Transporters,nonsurface,0.3253,non_surface,active_reviewed,O43861,ATP9B_HUMAN,ATP9B,no,yes,no
ATPF1_HUMAN,Q5TC12,ATPAF1,ENSG00000123472,,NA,,,0.3293,unclassified,active_reviewed,Q5TC12,ATPF1_HUMAN,ATPAF1,no,yes,no
ATPK_HUMAN,P56134,ATP5J2,ENSG00000241468,,NA,,nonsurface,0.0552,non_surface,active_reviewed,P56134,ATPK_HUMAN,ATP5MF,yes,yes,no
ATRAP_HUMAN,Q6RW13,AGTRAP,ENSG00000177674,,NA,Unclassified,nonsurface,0.3422,non_surface,active_reviewed,Q6RW13,ATRAP_HUMAN,AGTRAP,no,yes,no
ATRN1_HUMAN,Q5VV63,ATRNL1,ENSG00000107518,,NA,Unclassified,surface,0.7645,surface,active_reviewed,Q5VV63,ATRN1_HUMAN,ATRNL1,no,yes,no
ATRN_HUMAN,O75882,ATRN,ENSG00000088812,,1,Unclassified,surface,0.8547,surface,active_reviewed,O75882,ATRN_HUMAN,ATRN,no,yes,no
ATR_HUMAN,Q13535,ATR,ENSG00000175054,,NA,Enzymes,nonsurface,0.0686,non_surface,active_reviewed,Q13535,ATR_HUMAN,ATR,no,yes,no
ATS10_HUMAN,Q9H324,ADAMTS10,ENSG00000142303,,NA,,,0.5709,unclassified,active_reviewed,Q9H324,ATS10_HUMAN,ADAMTS10,no,yes,no
ATS12_HUMAN,P58397,ADAMTS12,ENSG00000151388,,NA,,,0.6507,unclassified,active_reviewed,P58397,ATS12_HUMAN,ADAMTS12,no,yes,no
ATS13_HUMAN,Q76LX8,ADAMTS13,ENSG00000160323,,NA,,,0.7425,unclassified,active_reviewed,Q76LX8,ATS13_HUMAN,ADAMTS13,no,yes,no
ATS14_HUMAN,Q8WXS8,ADAMTS14,ENSG00000138316,,NA,,,0.6667,unclassified,active_reviewed,Q8WXS8,ATS14_HUMAN,ADAMTS14,no,yes,no
ATS15_HUMAN,Q8TE58,ADAMTS15,ENSG00000166106,,1,,,0.4531,unclassified,active_reviewed,Q8TE58,ATS15_HUMAN,ADAMTS15,no,yes,no
ATS16_HUMAN,Q8TE57,ADAMTS16,ENSG00000145536,,NA,Unclassified,,0.5389,unclassified,active_reviewed,Q8TE57,ATS16_HUMAN,ADAMTS16,no,yes,no
ATS17_HUMAN,Q8TE56,ADAMTS17,ENSG00000140470,,NA,,,0.5888,unclassified,active_reviewed,Q8TE56,ATS17_HUMAN,ADAMTS17,no,yes,no
ATS18_HUMAN,Q8TE60,ADAMTS18,ENSG00000140873,,NA,Unclassified,,0.501,unclassified,active_reviewed,Q8TE60,ATS18_HUMAN,ADAMTS18,no,yes,no
ATS19_HUMAN,Q8TE59,ADAMTS19,ENSG00000145808,,NA,,,0.481,unclassified,active_reviewed,Q8TE59,ATS19_HUMAN,ADAMTS19,no,yes,no
ATS1_HUMAN,Q9UHI8,ADAMTS1,ENSG00000154734,,NA,Enzymes,,0.495,unclassified,active_reviewed,Q9UHI8,ATS1_HUMAN,ADAMTS1,no,yes,no
ATS20_HUMAN,P59510,ADAMTS20,ENSG00000173157,,NA,,,0.6128,unclassified,active_reviewed,P59510,ATS20_HUMAN,ADAMTS20,no,yes,no
ATS2_HUMAN,O95450,ADAMTS2,ENSG00000087116,,NA,,,0.6906,unclassified,active_reviewed,O95450,ATS2_HUMAN,ADAMTS2,no,yes,no
ATS3_HUMAN,O15072,ADAMTS3,ENSG00000156140,,NA,,,0.5609,unclassified,active_reviewed,O15072,ATS3_HUMAN,ADAMTS3,no,yes,no
ATS4_HUMAN,O75173,ADAMTS4,ENSG00000158859,,NA,Enzymes,,0.4631,unclassified,active_reviewed,O75173,ATS4_HUMAN,ADAMTS4,no,yes,no
ATS5_HUMAN,Q9UNA0,ADAMTS5,ENSG00000154736,,NA,,,0.5429,unclassified,active_reviewed,Q9UNA0,ATS5_HUMAN,ADAMTS5,no,yes,no
ATS6_HUMAN,Q9UKP5,ADAMTS6,ENSG00000049192,,NA,,,0.5868,unclassified,active_reviewed,Q9UKP5,ATS6_HUMAN,ADAMTS6,no,yes,no
ATS7_HUMAN,Q9UKP4,ADAMTS7,ENSG00000136378,,NA,,,0.7166,unclassified,active_reviewed,Q9UKP4,ATS7_HUMAN,ADAMTS7,no,yes,no
ATS8_HUMAN,Q9UP79,ADAMTS8,ENSG00000134917,,NA,,,0.5808,unclassified,active_reviewed,Q9UP79,ATS8_HUMAN,ADAMTS8,no,yes,no
ATS9_HUMAN,Q9P2N4,ADAMTS9,ENSG00000163638,,NA,,,0.6986,unclassified,active_reviewed,Q9P2N4,ATS9_HUMAN,ADAMTS9,no,yes,no
ATX3_HUMAN,P54252,ATXN3,ENSG00000066427,,NA,,nonsurface,0.1756,non_surface,active_reviewed,P54252,ATX3_HUMAN,ATXN3,no,yes,no
AUGN_HUMAN,Q9H1Z8,C2orf40,ENSG00000119147,,NA,,,0.2655,unclassified,active_reviewed,Q9H1Z8,AUGN_HUMAN,ECRG4,yes,yes,no
AUHM_HUMAN,Q13825,AUH,ENSG00000148090,,NA,,,0.2695,unclassified,active_reviewed,Q13825,AUHM_HUMAN,AUH,no,yes,no
AUP1_HUMAN,Q9Y679,AUP1,ENSG00000115307,,NA,Unclassified,nonsurface,0.1477,non_surface,active_reviewed,Q9Y679,AUP1_HUMAN,AUP1,no,yes,no
AVL9_HUMAN,Q8NBF6,AVL9,ENSG00000105778,,NA,Unclassified,nonsurface,0.1297,non_surface,active_reviewed,Q8NBF6,AVL9_HUMAN,AVL9,no,yes,no
AVR2A_HUMAN,P27037,ACVR2A,ENSG00000121989,,1,Receptors,surface,0.9341,surface,active_reviewed,P27037,AVR2A_HUMAN,ACVR2A,no,yes,no
AVR2B_HUMAN,Q13705,ACVR2B,ENSG00000114739,,1,Receptors,surface,0.8629,surface,active_reviewed,Q13705,AVR2B_HUMAN,ACVR2B,no,yes,no
AWAT1_HUMAN,Q58HT5,AWAT1,ENSG00000204195,,NA,Enzymes,nonsurface,0.1148,non_surface,active_reviewed,Q58HT5,AWAT1_HUMAN,AWAT1,no,yes,no
AWAT2_HUMAN,Q6E213,AWAT2,ENSG00000147160,,NA,Enzymes,nonsurface,0.0379,non_surface,active_reviewed,Q6E213,AWAT2_HUMAN,AWAT2,no,yes,no
AXIN2_HUMAN,Q9Y2T1,AXIN2,ENSG00000168646,,NA,,,0.487,unclassified,active_reviewed,Q9Y2T1,AXIN2_HUMAN,AXIN2,no,yes,no
B2CL1_HUMAN,Q07817,BCL2L1,ENSG00000171552,,NA,Transporters,nonsurface,0.0308,non_surface,active_reviewed,Q07817,B2CL1_HUMAN,BCL2L1,no,yes,no
B2CL2_HUMAN,Q92843,BCL2L2,ENSG00000129473;ENSG00000258643,,NA,Transporters,nonsurface,0.0365,non_surface,active_reviewed,Q92843,B2CL2_HUMAN,BCL2L2,no,yes,no
B2L10_HUMAN,Q9HD36,BCL2L10,ENSG00000137875,,NA,Transporters,nonsurface,0.0176,non_surface,active_reviewed,Q9HD36,B2L10_HUMAN,BCL2L10,no,yes,no
B2L13_HUMAN,Q9BXK5,BCL2L13,ENSG00000099968,,NA,Unclassified,nonsurface,0.1919,non_surface,active_reviewed,Q9BXK5,B2L13_HUMAN,BCL2L13,no,yes,no
B2MG_HUMAN,P61769,B2M,ENSG00000166710;ENSG00000273686,,NA,,,0.2555,unclassified,active_reviewed,P61769,B2MG_HUMAN,B2M,no,yes,no
B3A2_HUMAN,P04920,SLC4A2,ENSG00000164889,,2,Transporters,nonsurface,0.3792,non_surface,active_reviewed,P04920,B3A2_HUMAN,SLC4A2,no,yes,no
B3A3_HUMAN,P48751,SLC4A3,ENSG00000114923,,NA,Transporters,,0.4172,unclassified,active_reviewed,P48751,B3A3_HUMAN,SLC4A3,no,yes,no
B3A4_HUMAN,Q96Q91,SLC4A9,ENSG00000113073,,NA,Transporters,,0.497,unclassified,active_reviewed,Q96Q91,B3A4_HUMAN,SLC4A9,no,yes,no
B3AT_HUMAN,P02730,SLC4A1,ENSG00000004939,CD233,NA,Transporters,surface,0.5736,surface,active_reviewed,P02730,B3AT_HUMAN,SLC4A1,no,yes,no
B3GA1_HUMAN,Q9P2W7,B3GAT1,ENSG00000109956,,NA,Enzymes,nonsurface,0.1436,non_surface,active_reviewed,Q9P2W7,B3GA1_HUMAN,B3GAT1,no,yes,no
B3GA2_HUMAN,Q9NPZ5,B3GAT2,ENSG00000112309,,NA,Enzymes,nonsurface,0.0833,non_surface,active_reviewed,Q9NPZ5,B3GA2_HUMAN,B3GAT2,no,yes,no
B3GA3_HUMAN,O94766,B3GAT3,ENSG00000149541,,NA,Enzymes,nonsurface,0.0642,non_surface,active_reviewed,O94766,B3GA3_HUMAN,B3GAT3,no,yes,no
B3GL1_HUMAN,O75752,B3GALNT1,ENSG00000169255,,NA,Enzymes,nonsurface,0.1768,non_surface,active_reviewed,O75752,B3GL1_HUMAN,B3GALNT1,no,yes,no
B3GL2_HUMAN,Q8NCR0,B3GALNT2,ENSG00000162885,,NA,,nonsurface,0.0455,non_surface,active_reviewed,Q8NCR0,B3GL2_HUMAN,B3GALNT2,no,yes,no
B3GLT_HUMAN,Q6Y288,B3GALTL,ENSG00000187676,,2,,nonsurface,0.1078,non_surface,active_reviewed,Q6Y288,B3GLT_HUMAN,B3GLCT,yes,yes,no
B3GN2_HUMAN,Q9NY97,B3GNT2,ENSG00000170340,,2,Unclassified,nonsurface,0.1238,non_surface,active_reviewed,Q9NY97,B3GN2_HUMAN,B3GNT2,no,yes,no
B3GN3_HUMAN,Q9Y2A9,B3GNT3,ENSG00000179913,,NA,,,0.4012,unclassified,active_reviewed,Q9Y2A9,B3GN3_HUMAN,B3GNT3,no,yes,no
B3GN4_HUMAN,Q9C0J1,B3GNT4,ENSG00000176383,,NA,Unclassified,nonsurface,0.0977,non_surface,active_reviewed,Q9C0J1,B3GN4_HUMAN,B3GNT4,no,yes,no
B3GN5_HUMAN,Q9BYG0,B3GNT5,ENSG00000176597,,NA,Unclassified,nonsurface,0.2054,non_surface,active_reviewed,Q9BYG0,B3GN5_HUMAN,B3GNT5,no,yes,no
B3GN6_HUMAN,Q6ZMB0,B3GNT6,ENSG00000198488,,NA,,nonsurface,0.0739,non_surface,active_reviewed,Q6ZMB0,B3GN6_HUMAN,B3GNT6,no,yes,no
B3GN7_HUMAN,Q8NFL0,B3GNT7,ENSG00000156966,,NA,,nonsurface,0.1761,non_surface,active_reviewed,Q8NFL0,B3GN7_HUMAN,B3GNT7,no,yes,no
B3GN8_HUMAN,Q7Z7M8,B3GNT8,ENSG00000177191,,NA,,nonsurface,0.0773,non_surface,active_reviewed,Q7Z7M8,B3GN8_HUMAN,B3GNT8,no,yes,no
B3GN9_HUMAN,Q6UX72,B3GNT9,ENSG00000237172,,NA,,nonsurface,0.0737,non_surface,active_reviewed,Q6UX72,B3GN9_HUMAN,B3GNT9,no,yes,no
B3GT1_HUMAN,Q9Y5Z6,B3GALT1,ENSG00000172318,,NA,Unclassified,nonsurface,0.1038,non_surface,active_reviewed,Q9Y5Z6,B3GT1_HUMAN,B3GALT1,no,yes,no
B3GT2_HUMAN,O43825,B3GALT2,ENSG00000162630,,NA,Unclassified,nonsurface,0.2172,non_surface,active_reviewed,O43825,B3GT2_HUMAN,B3GALT2,no,yes,no
B3GT4_HUMAN,O96024,B3GALT4,ENSG00000206285;ENSG00000226936;ENSG00000235155;ENSG00000236802;ENSG00000235863,,NA,,nonsurface,0.0324,non_surface,active_reviewed,O96024,B3GT4_HUMAN,B3GALT4,no,yes,no
B3GT5_HUMAN,Q9Y2C3,B3GALT5,ENSG00000183778,,NA,,nonsurface,0.104,non_surface,active_reviewed,Q9Y2C3,B3GT5_HUMAN,B3GALT5,no,yes,no
B3GT6_HUMAN,Q96L58,B3GALT6,ENSG00000176022,,NA,,nonsurface,0.0547,non_surface,active_reviewed,Q96L58,B3GT6_HUMAN,B3GALT6,no,yes,no
B4GA1_HUMAN,O43505,B3GNT1,ENSG00000174684,,2,,nonsurface,0.0778,non_surface,active_reviewed,O43505,B4GA1_HUMAN,B4GAT1,yes,yes,no
B4GN1_HUMAN,Q00973,B4GALNT1,ENSG00000135454,,NA,Unclassified,nonsurface,0.0579,non_surface,active_reviewed,Q00973,B4GN1_HUMAN,B4GALNT1,no,yes,no
B4GN2_HUMAN,Q8NHY0,B4GALNT2,ENSG00000167080,,NA,Unclassified,nonsurface,0.162,non_surface,active_reviewed,Q8NHY0,B4GN2_HUMAN,B4GALNT2,no,yes,no
B4GN3_HUMAN,Q6L9W6,B4GALNT3,ENSG00000139044,,NA,,nonsurface,0.0345,non_surface,active_reviewed,Q6L9W6,B4GN3_HUMAN,B4GALNT3,no,yes,no
B4GN4_HUMAN,Q76KP1,B4GALNT4,ENSG00000182272,,NA,,nonsurface,0.0443,non_surface,active_reviewed,Q76KP1,B4GN4_HUMAN,B4GALNT4,no,yes,no
B4GT1_HUMAN,P15291,B4GALT1,ENSG00000086062,,NA,Enzymes,nonsurface,0.1976,non_surface,active_reviewed,P15291,B4GT1_HUMAN,B4GALT1,no,yes,no
B4GT2_HUMAN,O60909,B4GALT2,ENSG00000117411,,NA,Enzymes,nonsurface,0.129,non_surface,active_reviewed,O60909,B4GT2_HUMAN,B4GALT2,no,yes,no
B4GT3_HUMAN,O60512,B4GALT3,ENSG00000158850,,2,Enzymes,nonsurface,0.0958,non_surface,active_reviewed,O60512,B4GT3_HUMAN,B4GALT3,no,yes,no
B4GT4_HUMAN,O60513,B4GALT4,ENSG00000121578,,NA,Enzymes,nonsurface,0.1186,non_surface,active_reviewed,O60513,B4GT4_HUMAN,B4GALT4,no,yes,no
B4GT5_HUMAN,O43286,B4GALT5,ENSG00000158470,,2,,nonsurface,0.1297,non_surface,active_reviewed,O43286,B4GT5_HUMAN,B4GALT5,no,yes,no
B4GT6_HUMAN,Q9UBX8,B4GALT6,ENSG00000118276,,NA,,nonsurface,0.1514,non_surface,active_reviewed,Q9UBX8,B4GT6_HUMAN,B4GALT6,no,yes,no
B4GT7_HUMAN,Q9UBV7,B4GALT7,ENSG00000027847,,NA,Enzymes,nonsurface,0.0739,non_surface,active_reviewed,Q9UBV7,B4GT7_HUMAN,B4GALT7,no,yes,no
B9D1_HUMAN,Q9UPM9,B9D1,ENSG00000108641,,NA,,,0.3094,unclassified,active_reviewed,Q9UPM9,B9D1_HUMAN,B9D1,no,yes,no
BACE1_HUMAN,P56817,BACE1,ENSG00000186318,,1,Enzymes,surface,0.7625,surface,active_reviewed,P56817,BACE1_HUMAN,BACE1,no,yes,no
BACE2_HUMAN,Q9Y5Z0,BACE2,ENSG00000182240,,NA,Enzymes,surface,0.7984,surface,active_reviewed,Q9Y5Z0,BACE2_HUMAN,BACE2,no,yes,no
BAGE1_HUMAN,Q13072,BAGE,,,NA,,,0.2894,unclassified,active_reviewed,Q13072,BAGE1_HUMAN,BAGE,no,yes,no
BAGE2_HUMAN,Q86Y30,BAGE2,,,NA,,,0.3673,unclassified,active_reviewed,Q86Y30,BAGE2_HUMAN,BAGE2,no,yes,no
BAGE3_HUMAN,Q86Y29,BAGE3,,,NA,,,0.3673,unclassified,active_reviewed,Q86Y29,BAGE3_HUMAN,BAGE3,no,yes,no
BAGE4_HUMAN,Q86Y28,BAGE4,,,NA,,,0.2216,unclassified,active_reviewed,Q86Y28,BAGE4_HUMAN,BAGE4,no,yes,no
BAGE5_HUMAN,Q86Y27,BAGE5,,,NA,,,0.2854,unclassified,active_reviewed,Q86Y27,BAGE5_HUMAN,BAGE5,no,yes,no
BAI1_HUMAN,O14514,BAI1,ENSG00000181790,,NA,Receptors,surface,0.99,surface,active_reviewed,O14514,AGRB1_HUMAN,ADGRB1,yes,yes,no
BAI2_HUMAN,O60241,BAI2,ENSG00000121753,,NA,Receptors,surface,0.9835,surface,active_reviewed,O60241,AGRB2_HUMAN,ADGRB2,yes,yes,no
BAI3_HUMAN,O60242,BAI3,ENSG00000135298,,NA,Receptors,surface,0.988,surface,active_reviewed,O60242,AGRB3_HUMAN,ADGRB3,yes,yes,no
BAK_HUMAN,Q16611,BAK1,ENSG00000030110,,NA,Unclassified,nonsurface,0.1538,non_surface,active_reviewed,Q16611,BAK_HUMAN,BAK1,no,yes,no
BAMBI_HUMAN,Q13145,BAMBI,ENSG00000095739,,NA,Unclassified,surface,0.8503,surface,active_reviewed,Q13145,BAMBI_HUMAN,BAMBI,no,yes,no
BAP29_HUMAN,Q9UHQ4,BCAP29,ENSG00000075790,,NA,Unclassified,nonsurface,0.1317,non_surface,active_reviewed,Q9UHQ4,BAP29_HUMAN,BCAP29,no,yes,no
BAP31_HUMAN,P51572,BCAP31,ENSG00000185825,,NA,Unclassified,nonsurface,0.1677,non_surface,active_reviewed,P51572,BAP31_HUMAN,BCAP31,no,yes,no
BASI_HUMAN,P35613,BSG,ENSG00000172270,CD147,1,Unclassified,surface,0.9242,surface,active_reviewed,P35613,BASI_HUMAN,BSG,no,yes,no
BAT1_HUMAN,P82251,SLC7A9,ENSG00000021488,,NA,Transporters,surface,0.6267,surface,active_reviewed,P82251,BAT1_HUMAN,SLC7A9,no,yes,no
BATF3_HUMAN,Q9NR55,BATF3,ENSG00000123685,,NA,,,0.3333,unclassified,active_reviewed,Q9NR55,BATF3_HUMAN,BATF3,no,yes,no
BAX_HUMAN,Q07812,BAX,ENSG00000087088,,NA,Transporters,nonsurface,0.0858,non_surface,active_reviewed,Q07812,BAX_HUMAN,BAX,no,yes,no
BCAM_HUMAN,P50895,BCAM,ENSG00000187244,CD239,1,Miscellaneous,surface,0.9182,surface,active_reviewed,P50895,BCAM_HUMAN,BCAM,no,yes,no
BCE1_HUMAN,O60756,BCE1,,,NA,Unclassified,nonsurface,0.0559,non_surface,active_reviewed,O60756,BCE1_HUMAN,BCE1,no,yes,no
BCL2_HUMAN,P10415,BCL2,ENSG00000171791,,NA,Transporters,nonsurface,0.0695,non_surface,active_reviewed,P10415,BCL2_HUMAN,BCL2,no,yes,no
BCR_HUMAN,P11274,BCR,ENSG00000186716,,NA,Unclassified,nonsurface,0.0659,non_surface,active_reviewed,P11274,BCR_HUMAN,BCR,no,yes,no
BCS1_HUMAN,Q9Y276,BCS1L,ENSG00000074582,,NA,,nonsurface,0.0452,non_surface,active_reviewed,Q9Y276,BCS1_HUMAN,BCS1L,no,yes,no
BDH2_HUMAN,Q9BUT1,BDH2,ENSG00000164039,,NA,,,0.479,unclassified,active_reviewed,Q9BUT1,DHRS6_HUMAN,BDH2,no,yes,no
BDNF_HUMAN,P23560,BDNF,ENSG00000176697,,1,Unclassified,,0.6527,unclassified,active_reviewed,P23560,BDNF_HUMAN,BDNF,no,yes,no
BDP1_HUMAN,A6H8Y1,BDP1,ENSG00000145734;ENSG00000273873,,NA,Unclassified,nonsurface,0.2199,non_surface,active_reviewed,A6H8Y1,BDP1_HUMAN,BDP1,no,yes,no
BEAN1_HUMAN,Q3B7T3,BEAN1,ENSG00000166546,,NA,,,0.475,unclassified,active_reviewed,Q3B7T3,BEAN1_HUMAN,BEAN1,no,yes,no
BEST1_HUMAN,O76090,BEST1,ENSG00000167995,,NA,Transporters,nonsurface,0.2196,non_surface,active_reviewed,O76090,BEST1_HUMAN,BEST1,no,yes,no
BEST2_HUMAN,Q8NFU1,BEST2,ENSG00000039987,,NA,Transporters,surface,0.2567,surface,active_reviewed,Q8NFU1,BEST2_HUMAN,BEST2,no,yes,no
BEST3_HUMAN,Q8N1M1,BEST3,ENSG00000127325,,NA,Transporters,nonsurface,0.3174,non_surface,active_reviewed,Q8N1M1,BEST3_HUMAN,BEST3,no,yes,no
BEST4_HUMAN,Q8NFU0,BEST4,ENSG00000142959,,NA,Transporters,surface,0.2513,surface,active_reviewed,Q8NFU0,BEST4_HUMAN,BEST4,no,yes,no
BET1L_HUMAN,Q9NYM9,BET1L,ENSG00000177951,,NA,Unclassified,nonsurface,0.0398,non_surface,active_reviewed,Q9NYM9,BET1L_HUMAN,BET1L,no,yes,no
BET1_HUMAN,O15155,BET1,ENSG00000105829,,NA,Unclassified,nonsurface,0.0383,non_surface,active_reviewed,O15155,BET1_HUMAN,BET1,no,yes,no
BETAT_HUMAN,Q6UXH0,C19orf80,ENSG00000130173,,NA,Unclassified,,0.3034,unclassified,active_reviewed,Q6UXH0,ANGL8_HUMAN,ANGPTL8,yes,yes,no
BFAR_HUMAN,Q9NZS9,BFAR,ENSG00000103429;ENSG00000275618,,NA,Unclassified,nonsurface,0.2196,non_surface,active_reviewed,Q9NZS9,BFAR_HUMAN,BFAR,no,yes,no
BGAL_HUMAN,P16278,GLB1,ENSG00000170266,,2,,,0.6826,unclassified,active_reviewed,P16278,BGAL_HUMAN,GLB1,no,yes,no
BGAT_HUMAN,P16442,ABO,,,NA,Enzymes,nonsurface,0.1297,non_surface,active_reviewed,P16442,BGAT_HUMAN,ABO,no,yes,no
BGH3_HUMAN,Q15582,TGFBI,ENSG00000120708,,NA,,,0.3613,unclassified,active_reviewed,Q15582,BGH3_HUMAN,TGFBI,no,yes,no
BGLR_HUMAN,P08236,GUSB,ENSG00000169919,,2,,,0.6507,unclassified,active_reviewed,P08236,BGLR_HUMAN,GUSB,no,yes,no
BI1_HUMAN,P55061,TMBIM6,ENSG00000139644,,NA,Unclassified,nonsurface,0.2475,non_surface,active_reviewed,P55061,BI1_HUMAN,TMBIM6,no,yes,no
BICR1_HUMAN,Q6ZP65,CCDC64,ENSG00000135127,,NA,,,0.4691,unclassified,active_reviewed,Q6ZP65,BICL1_HUMAN,BICDL1,yes,yes,no
BIG3_HUMAN,Q5TH69,ARFGEF3,ENSG00000112379,,NA,Unclassified,nonsurface,0.1118,non_surface,active_reviewed,Q5TH69,BIG3_HUMAN,ARFGEF3,no,yes,no
BIK_HUMAN,Q13323,BIK,ENSG00000100290,,NA,Unclassified,nonsurface,0.1517,non_surface,active_reviewed,Q13323,BIK_HUMAN,BIK,no,yes,no
BKRB1_HUMAN,P46663,BDKRB1,ENSG00000100739,,NA,Receptors,surface,0.8723,surface,active_reviewed,P46663,BKRB1_HUMAN,BDKRB1,no,yes,no
BKRB2_HUMAN,P30411,BDKRB2,ENSG00000168398,,NA,Receptors,surface,0.98,surface,active_reviewed,P30411,BKRB2_HUMAN,BDKRB2,no,yes,no
BLCAP_HUMAN,P62952,BLCAP,ENSG00000166619,,NA,Unclassified,nonsurface,0.3194,non_surface,active_reviewed,P62952,BLCAP_HUMAN,BLCAP,no,yes,no
BLVRB_HUMAN,P30043,BLVRB,ENSG00000090013,,NA,,,0.2555,unclassified,active_reviewed,P30043,BLVRB_HUMAN,BLVRB,no,yes,no
BMP10_HUMAN,O95393,BMP10,ENSG00000163217,,NA,,,0.6108,unclassified,active_reviewed,O95393,BMP10_HUMAN,BMP10,no,yes,no
BMP15_HUMAN,O95972,BMP15,ENSG00000130385,,NA,,,0.6587,unclassified,active_reviewed,O95972,BMP15_HUMAN,BMP15,no,yes,no
BMP1_HUMAN,P13497,BMP1,ENSG00000168487,,NA,,,0.6667,unclassified,active_reviewed,P13497,BMP1_HUMAN,BMP1,no,yes,no
BMP2_HUMAN,P12643,BMP2,ENSG00000125845,,NA,,,0.7246,unclassified,active_reviewed,P12643,BMP2_HUMAN,BMP2,no,yes,no
BMP3B_HUMAN,P55107,GDF10,ENSG00000266524,,NA,,,0.6866,unclassified,active_reviewed,P55107,GDF10_HUMAN,GDF10,no,yes,no
BMP3_HUMAN,P12645,BMP3,ENSG00000152785,,NA,,,0.7445,unclassified,active_reviewed,P12645,BMP3_HUMAN,BMP3,no,yes,no
BMP4_HUMAN,P12644,BMP4,ENSG00000125378,,NA,,,0.7166,unclassified,active_reviewed,P12644,BMP4_HUMAN,BMP4,no,yes,no
BMP5_HUMAN,P22003,BMP5,ENSG00000112175,,NA,,,0.7246,unclassified,active_reviewed,P22003,BMP5_HUMAN,BMP5,no,yes,no
BMP6_HUMAN,P22004,BMP6,ENSG00000153162,,NA,,,0.7505,unclassified,active_reviewed,P22004,BMP6_HUMAN,BMP6,no,yes,no
BMP7_HUMAN,P18075,BMP7,ENSG00000101144,,NA,,,0.6946,unclassified,active_reviewed,P18075,BMP7_HUMAN,BMP7,no,yes,no
BMP8A_HUMAN,Q7Z5Y6,BMP8A,ENSG00000183682,,NA,,,0.6228,unclassified,active_reviewed,Q7Z5Y6,BMP8A_HUMAN,BMP8A,no,yes,no
BMP8B_HUMAN,P34820,BMP8B,ENSG00000116985,,NA,,,0.6248,unclassified,active_reviewed,P34820,BMP8B_HUMAN,BMP8B,no,yes,no
BMPER_HUMAN,Q8N8U9,BMPER,ENSG00000164619,,NA,,,0.7784,unclassified,active_reviewed,Q8N8U9,BMPER_HUMAN,BMPER,no,yes,no
BMPR2_HUMAN,Q13873,BMPR2,ENSG00000204217,,1,Receptors,surface,0.8683,surface,active_reviewed,Q13873,BMPR2_HUMAN,BMPR2,no,yes,no
BMR1A_HUMAN,P36894,BMPR1A,ENSG00000107779,CD292,NA,Receptors,surface,0.8084,surface,active_reviewed,P36894,BMR1A_HUMAN,BMPR1A,no,yes,no
BMR1B_HUMAN,O00238,BMPR1B,ENSG00000138696,CDw293,NA,Receptors,,0.5709,unclassified,active_reviewed,O00238,BMR1B_HUMAN,BMPR1B,no,yes,no
