census_accession,census_class,census_identity_status,source_identifiers,fetch_failed,fetch_error,fetched_on,uniprot_release,span_aa_v1,span_aa,span_start,span_end,span_rule,span_category,no_span_reason,span_boundary_coordinate,terms_unruled,terms_held,guards,parsed_under
A6H8M9,surface,active,CDHR4_HUMAN,false,,2026-08-06,2007-07-24,670,670,17,686,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q9HBB8,surface,active,CDHR5_HUMAN,false,,2026-08-06,2010-05-18,644,644,26,669,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q4KMG0,surface,active,CDON_HUMAN,false,,2026-08-06,2010-10-05,938,938,26,963,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q7Z692,surface,active,CEA19_HUMAN,false,,2026-08-06,2004-07-05,125,125,33,157,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q6UY09,surface,active,CEA20_HUMAN,false,,2026-08-06,2018-03-28,420,420,31,450,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q3KPI0,surface,active,CEA21_HUMAN,false,,2026-08-06,2022-02-23,206,206,35,240,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P13688,surface,active,CEAM1_HUMAN,false,,2026-08-06,1993-07-01,394,394,35,428,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P40198,surface,active,CEAM3_HUMAN,false,,2026-08-06,2008-12-16,121,121,35,155,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
O75871,surface,active,CEAM4_HUMAN,false,,2026-08-06,1999-08-01,120,120,36,155,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P06731,surface,active,CEAM5_HUMAN,false,,2026-08-06,2022-02-23,,641,35,675,gpi_rule_A,,,,,,chain_end_exceeds_anchor,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P40199,surface,active,CEAM6_HUMAN,false,,2026-08-06,2022-02-23,,285,35,319,gpi_rule_A,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q14002,surface,active,CEAM7_HUMAN,false,,2026-08-06,2022-02-23,,206,36,241,gpi_rule_A,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P31997,surface,active,CEAM8_HUMAN,false,,2026-08-06,1999-07-15,,285,35,319,gpi_rule_A,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q9NYQ6,surface,active,CELR1_HUMAN,false,,2026-08-06,2000-10-01,2448,2448,22,2469,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q9HCU4,surface,active,CELR2_HUMAN,false,,2026-08-06,2001-03-01,2349,2349,32,2380,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q9NYQ7,surface,active,CELR3_HUMAN,false,,2026-08-06,2009-05-05,2508,2508,33,2540,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P0CG37,surface,active,CFC1_HUMAN,false,,2026-08-06,2010-07-13,,132,26,157,gpi_rule_A,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q16880,surface,active,CGT_HUMAN,false,,2026-08-06,2010-05-18,,,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q9H9P2,surface,active,CHODL_HUMAN,false,,2026-08-06,2001-10-18,195,195,22,216,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q8WUD6,surface,active,CHPT1_HUMAN,false,,2026-08-06,2002-03-01,,15,208,222,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q96F05,surface,active,CK024_HUMAN,false,,2026-08-06,2007-04-03,380,380,21,400,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q6NUJ2,surface,active,CK087_HUMAN,false,,2026-08-06,2010-05-18,38,38,24,61,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q5QGZ9,surface,active,CL12A_HUMAN,false,,2026-08-06,2010-10-05,201,201,65,265,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q2HXU8,surface,active,CL12B_HUMAN,false,,2026-08-06,2006-03-07,212,212,65,276,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q6ZS10,surface,active,CL17A_HUMAN,false,,2026-08-06,2010-07-13,185,185,194,378,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q86T13,surface,active,CLC14_HUMAN,false,,2026-08-06,2003-06-01,376,376,22,397,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q8NC01,surface,active,CLC1A_HUMAN,false,,2026-08-06,2006-10-17,207,207,74,280,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q9P126,surface,active,CLC1B_HUMAN,false,,2026-08-06,2007-03-06,175,175,55,229,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q9UHP7,surface,active,CLC2D_HUMAN,false,,2026-08-06,2000-05-01,132,132,60,191,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q6UXB4,surface,active,CLC4G_HUMAN,false,,2026-08-06,2004-07-05,241,241,53,293,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q9H2X3,surface,active,CLC4M_HUMAN,false,,2026-08-06,2001-03-01,329,329,71,399,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q9NY25,surface,active,CLC5A_HUMAN,false,,2026-08-06,2000-10-01,161,161,28,188,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q9BXN2,surface,active,CLC7A_HUMAN,false,,2026-08-06,2001-06-01,182,182,66,247,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q6UXN8,surface,active,CLC9A_HUMAN,false,,2026-08-06,2004-07-05,185,185,57,241,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q9UQC9,surface,active,CLCA2_HUMAN,false,,2026-08-06,2008-05-20,870,870,32,901,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q14CN2,surface,active,CLCA4_HUMAN,false,,2026-08-06,2008-07-22,,,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P51801,surface,active,CLCKB_HUMAN,false,,2026-08-06,2010-02-09,,,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P78369,surface,active,CLD10_HUMAN,false,,2026-08-06,1998-08-01,59,59,22,80,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
O75508,surface,active,CLD11_HUMAN,false,,2026-08-06,2000-05-30,60,60,23,82,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P56749,surface,active,CLD12_HUMAN,false,,2026-08-06,2000-05-30,56,56,32,87,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P56746,surface,active,CLD15_HUMAN,false,,2026-08-06,2000-05-30,50,50,25,74,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q9Y5I7,surface,active,CLD16_HUMAN,false,,2026-08-06,2022-02-23,55,55,25,79,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P56856,surface,active,CLD18_HUMAN,false,,2026-08-06,2000-05-30,53,53,28,80,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q8N6F1,surface,active,CLD19_HUMAN,false,,2026-08-06,2004-05-24,53,53,29,81,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
O95832,surface,active,CLD1_HUMAN,false,,2026-08-06,1999-05-01,53,53,29,81,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P56880,surface,active,CLD20_HUMAN,false,,2026-08-06,2000-05-30,53,53,29,81,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q8N7P3,surface,active,CLD22_HUMAN,false,,2026-08-06,2005-03-29,51,51,31,81,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
A6NM45,surface,active,CLD24_HUMAN,false,,2026-08-06,2013-06-26,50,50,32,81,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P57739,surface,active,CLD2_HUMAN,false,,2026-08-06,2001-01-11,53,53,29,81,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
O15551,surface,active,CLD3_HUMAN,false,,2026-08-06,1998-01-01,51,51,30,80,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
O14493,surface,active,CLD4_HUMAN,false,,2026-08-06,1998-01-01,53,53,29,81,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P56747,surface,active,CLD6_HUMAN,false,,2026-08-06,2006-03-07,53,53,29,81,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
O95471,surface,active,CLD7_HUMAN,false,,2026-08-06,2010-11-02,53,53,29,81,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P56748,surface,active,CLD8_HUMAN,false,,2026-08-06,2000-05-30,53,53,29,81,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
O95484,surface,active,CLD9_HUMAN,false,,2026-08-06,1999-05-01,53,53,29,81,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q9NY35,surface,active,CLDN1_HUMAN,false,,2026-08-06,2000-10-01,,,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q8TDQ1,surface,active,CLM1_HUMAN,false,,2026-08-06,2010-05-18,137,137,20,156,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q496F6,surface,active,CLM2_HUMAN,false,,2026-08-06,2010-05-18,156,156,18,173,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q6UXZ3,surface,active,CLM4_HUMAN,false,,2026-08-06,2004-07-05,147,147,19,165,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q08708,surface,active,CLM6_HUMAN,false,,2026-08-06,1996-10-01,163,163,21,183,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q9UGN4,surface,active,CLM8_HUMAN,false,,2026-08-06,2007-02-20,163,163,18,180,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q6UXG3,surface,active,CLM9_HUMAN,false,,2026-08-06,2010-05-18,229,229,19,247,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q9H6B4,surface,active,CLMP_HUMAN,false,,2026-08-06,2001-03-01,217,217,19,235,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q13286,surface,active,CLN3_HUMAN,false,,2026-08-06,1996-11-01,,69,59,127,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P58418,surface,active,CLRN1_HUMAN,false,,2026-08-06,2007-02-06,,,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
A0PK11,surface,active,CLRN2_HUMAN,false,,2026-08-06,2007-01-09,,,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q9Y271,surface,active,CLTR1_HUMAN,false,,2026-08-06,1999-11-01,31,31,163,193,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q9NS75,surface,active,CLTR2_HUMAN,false,,2026-08-06,2000-10-01,42,42,1,42,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q99788,surface,active,CML1_HUMAN,false,,2026-08-06,2001-11-16,48,48,177,224,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q86TY3,surface,active,CN037_HUMAN,false,,2026-08-06,2003-06-01,687,687,28,714,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q9NPU4,surface,active,CN132_HUMAN,false,,2026-08-06,2015-03-04,,,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q9H8M5,surface,active,CNNM2_HUMAN,false,,2026-08-06,2007-07-24,250,250,1,250,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q8NE01,surface,active,CNNM3_HUMAN,false,,2026-08-06,2002-10-01,,,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q6P4Q7,surface,active,CNNM4_HUMAN,false,,2026-08-06,2009-03-03,178,178,1,178,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P21554,surface,active,CNR1_HUMAN,false,,2026-08-06,1991-05-01,116,116,1,116,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P34972,surface,active,CNR2_HUMAN,false,,2026-08-06,1994-02-01,33,33,1,33,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q96NU0,surface,active,CNT3B_HUMAN,false,,2026-08-06,2018-03-28,1220,1220,26,1245,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P26992,surface,active,CNTFR_HUMAN,false,,2026-08-06,1996-02-01,,319,23,341,gpi_rule_A,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q12860,surface,active,CNTN1_HUMAN,false,,2026-08-06,1996-11-01,,972,21,992,gpi_rule_A,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q02246,surface,active,CNTN2_HUMAN,false,,2026-08-06,1993-07-01,,981,31,1011,gpi_rule_A,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q9P232,surface,active,CNTN3_HUMAN,false,,2026-08-06,2010-05-18,,982,20,1001,gpi_rule_A,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q8IWV2,surface,active,CNTN4_HUMAN,false,,2026-08-06,2003-03-01,,981,19,999,gpi_rule_A,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
O94779,surface,active,CNTN5_HUMAN,false,,2026-08-06,1999-11-01,,1053,19,1071,gpi_rule_A,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q9UQ52,surface,active,CNTN6_HUMAN,false,,2026-08-06,2000-05-01,,979,20,998,gpi_rule_A,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P78357,surface,active,CNTP1_HUMAN,false,,2026-08-06,1997-05-01,1264,1264,20,1283,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q9UHC6,surface,active,CNTP2_HUMAN,false,,2026-08-06,2000-05-01,1235,1235,28,1262,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q9BZ76,surface,active,CNTP3_HUMAN,false,,2026-08-06,2008-10-14,1220,1220,26,1245,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q9C0A0,surface,active,CNTP4_HUMAN,false,,2026-08-06,2008-10-14,1216,1216,26,1241,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q8WYK1,surface,active,CNTP5_HUMAN,false,,2026-08-06,2002-03-01,1213,1213,25,1237,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
O15431,surface,active,COPT1_HUMAN,false,,2026-08-06,1998-01-01,61,61,1,61,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q9Y5Q5,surface,active,CORIN_HUMAN,false,,2026-08-06,2011-01-11,976,976,67,1042,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q8NHV5,surface,active,CP052_HUMAN,false,,2026-08-06,2014-05-14,,,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P17927,surface,active,CR1_HUMAN,false,,2026-08-06,2010-03-02,1930,1930,42,1971,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P20023,surface,active,CR2_HUMAN,false,,2026-08-06,2008-11-25,951,951,21,971,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P34998,surface,active,CRFR1_HUMAN,false,,2026-08-06,2024-05-29,90,90,24,113,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q13324,surface,active,CRFR2_HUMAN,false,,2026-08-06,2000-05-30,113,113,1,113,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q9NZV1,surface,active,CRIM1_HUMAN,false,,2026-08-06,2000-10-01,905,905,35,939,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q9HC73,surface,active,CRLF2_HUMAN,false,,2026-08-06,2001-03-01,209,209,23,231,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
O95727,surface,active,CRTAM_HUMAN,false,,2026-08-06,2007-06-26,270,270,18,287,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P82279,surface,active,CRUM1_HUMAN,false,,2026-08-06,2005-07-19,1322,1322,26,1347,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q5IJ48,surface,active,CRUM2_HUMAN,false,,2026-08-06,2006-10-17,,,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q9BUF7,surface,active,CRUM3_HUMAN,false,,2026-08-06,2005-06-07,33,33,27,59,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q8NEA5,surface,active,CS018_HUMAN,false,,2026-08-06,2002-10-01,71,71,30,100,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q9P1W3,surface,active,CSC1_HUMAN,false,,2026-08-06,2000-10-01,37,37,1,37,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
O94886,surface,active,CSCL1_HUMAN,false,,2026-08-06,2007-03-20,51,51,1,51,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q5T3F8,surface,active,CSCL2_HUMAN,false,,2026-08-06,2004-12-21,40,40,1,40,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P07333,surface,active,CSF1R_HUMAN,false,,2026-08-06,1994-06-01,498,498,20,517,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P09603,surface,active,CSF1_HUMAN,false,,2026-08-06,2010-11-02,,464,33,496,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P15509,surface,active,CSF2R_HUMAN,false,,2026-08-06,1990-04-01,298,298,23,320,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q99062,surface,active,CSF3R_HUMAN,false,,2026-08-06,1995-02-01,603,603,25,627,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q96PZ7,surface,active,CSMD1_HUMAN,false,,2026-08-06,2018-03-28,3461,3461,27,3487,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q7Z408,surface,active,CSMD2_HUMAN,false,,2026-08-06,2006-10-17,3408,3408,1,3408,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q6UVK1,surface,active,CSPG4_HUMAN,false,,2026-08-06,2010-05-18,2195,2195,30,2224,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
O95196,surface,active,CSPG5_HUMAN,false,,2026-08-06,2009-05-05,393,393,31,423,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
O94985,surface,active,CSTN1_HUMAN,false,,2026-08-06,1999-05-01,831,831,29,859,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q9H4D0,surface,active,CSTN2_HUMAN,false,,2026-08-06,2010-05-18,811,811,21,831,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q9BQT9,surface,active,CSTN3_HUMAN,false,,2026-08-06,2001-06-01,828,,,,,absent_with_reason,span_contains_transmembrane,,,,span_contains_rejected_domain;span_overlaps_transmembrane,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q8WWI5,surface,active,CTL1_HUMAN,false,,2026-08-06,2002-03-01,,,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q8IWA5,surface,active,CTL2_HUMAN,false,,2026-08-06,2010-11-02,178,178,55,232,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q8N4M1,surface,active,CTL3_HUMAN,false,,2026-08-06,2009-09-22,,,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q53GD3,surface,active,CTL4_HUMAN,false,,2026-08-06,2010-11-02,174,174,56,229,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q8NCS7,surface,active,CTL5_HUMAN,false,,2026-08-06,2018-09-12,183,183,60,242,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P16410,surface,active,CTLA4_HUMAN,false,,2026-08-06,2003-01-10,126,126,36,161,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
O60931,surface,active,CTNS_HUMAN,false,,2026-08-06,2009-11-24,,103,23,125,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P30825,surface,active,CTR1_HUMAN,false,,2026-08-06,1996-10-01,39,39,124,162,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P52569,surface,active,CTR2_HUMAN,false,,2026-08-06,2007-02-20,38,38,126,163,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q8WY07,surface,active,CTR3_HUMAN,false,,2026-08-06,2002-03-01,34,34,129,162,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
O43246,surface,active,CTR4_HUMAN,false,,2026-08-06,2005-03-15,,,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q86XM0,surface,active,CTSRD_HUMAN,false,,2026-08-06,2007-05-15,703,703,21,723,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q6ZRH7,surface,active,CTSRG_HUMAN,false,,2026-08-06,2008-11-25,1030,1030,36,1065,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q86UP6,surface,active,CUZD1_HUMAN,false,,2026-08-06,2003-06-01,,544,25,568,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P49238,surface,active,CX3C1_HUMAN,false,,2026-08-06,1996-02-01,31,31,1,31,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P17302,surface,active,CXA1_HUMAN,false,,2026-08-06,2007-01-23,32,32,45,76,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q9Y6H8,surface,active,CXA3_HUMAN,false,,2026-08-06,2010-11-02,31,31,41,71,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P35212,surface,active,CXA4_HUMAN,false,,2026-08-06,2007-01-23,42,42,166,207,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P78310,surface,active,CXAR_HUMAN,false,,2026-08-06,1997-05-01,218,218,20,237,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P08034,surface,active,CXB1_HUMAN,false,,2026-08-06,1988-08-01,38,38,154,191,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P29033,surface,active,CXB2_HUMAN,false,,2026-08-06,2005-10-11,33,33,41,73,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
O75712,surface,active,CXB3_HUMAN,false,,2026-08-06,1998-11-01,38,38,150,187,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q9NTQ9,surface,active,CXB4_HUMAN,false,,2026-08-06,2000-10-01,33,33,41,73,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
O95377,surface,active,CXB5_HUMAN,false,,2026-08-06,2000-12-01,38,38,150,187,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
O95452,surface,active,CXB6_HUMAN,false,,2026-08-06,2003-09-19,38,38,155,192,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q6PEY0,surface,active,CXB7_HUMAN,false,,2026-08-06,2004-07-05,35,35,41,75,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P25024,surface,active,CXCR1_HUMAN,false,,2026-08-06,2006-05-30,39,39,1,39,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P25025,surface,active,CXCR2_HUMAN,false,,2026-08-06,1996-02-01,48,48,1,48,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P49682,surface,active,CXCR3_HUMAN,false,,2026-08-06,1997-11-01,53,53,1,53,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P61073,surface,active,CXCR4_HUMAN,false,,2026-08-06,2004-04-26,38,38,1,38,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P32302,surface,active,CXCR5_HUMAN,false,,2026-08-06,1993-10-01,55,55,1,55,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
O00574,surface,active,CXCR6_HUMAN,false,,2026-08-06,1997-07-01,32,32,1,32,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q9UKL4,surface,active,CXD2_HUMAN,false,,2026-08-06,2000-05-01,33,33,43,75,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q5T442,surface,active,CXG2_HUMAN,false,,2026-08-06,2004-12-21,32,32,47,78,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q8NFK1,surface,active,CXG3_HUMAN,false,,2026-08-06,2002-10-01,41,41,154,194,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
Q9H2A7,surface,active,CXL16_HUMAN,false,,2026-08-06,2008-10-14,176,176,30,205,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
P04839,surface,active,CY24B_HUMAN,false,,2026-08-06,2007-01-23,45,45,223,267,vocabulary,,,,,,,v2-ruled-vocabulary-2026-08-07@55a792f-r10
