census_accession,census_class,census_identity_status,source_identifiers,fetch_failed,fetch_error,fetched_on,uniprot_release,span_aa_v1,span_aa,span_rule,span_category,no_span_reason,span_boundary_coordinate,terms_unruled,terms_held,parsed_under
Q8IZ52,non_surface,active,CHSS2_HUMAN,false,,2026-08-06,2010-11-02,,741,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q70JA7,non_surface,active,CHSS3_HUMAN,false,,2026-08-06,2007-04-17,,854,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
O43916,non_surface,active,CHST1_HUMAN,false,,2026-08-06,1998-06-01,,388,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9Y4C5,non_surface,active,CHST2_HUMAN,false,,2026-08-06,2003-03-01,,455,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q7LGC8,non_surface,active,CHST3_HUMAN,false,,2026-08-06,2006-10-17,,441,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q8NCG5,non_surface,active,CHST4_HUMAN,false,,2026-08-06,2005-03-15,,358,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9GZS9,non_surface,active,CHST5_HUMAN,false,,2026-08-06,2009-06-16,,363,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9GZX3,non_surface,active,CHST6_HUMAN,false,,2026-08-06,2001-03-01,,369,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9NS84,non_surface,active,CHST7_HUMAN,false,,2026-08-06,2005-03-15,,452,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9H2A9,non_surface,active,CHST8_HUMAN,false,,2026-08-06,2005-03-15,,393,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
O43529,non_surface,active,CHSTA_HUMAN,false,,2026-08-06,1998-06-01,,329,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9NPF2,non_surface,active,CHSTB_HUMAN,false,,2026-08-06,2000-10-01,,315,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9NRB3,non_surface,active,CHSTC_HUMAN,false,,2026-08-06,2005-03-15,,388,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q8NET6,non_surface,active,CHSTD_HUMAN,false,,2026-08-06,2002-10-01,,311,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q8NCH0,non_surface,active,CHSTE_HUMAN,false,,2026-08-06,2005-03-15,,316,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q7LFX5,non_surface,active,CHSTF_HUMAN,false,,2026-08-06,2004-07-05,,460,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
H0YL14,non_surface,active,CI069_HUMAN,false,,2026-08-06,2012-04-18,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q5VZI3,non_surface,active,CI091_HUMAN,false,,2026-08-06,2004-12-07,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q5VTT2,non_surface,active,CI135_HUMAN,false,,2026-08-06,2004-12-07,123,123,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q8TCG1,non_surface,active,CIP2A_HUMAN,false,,2026-08-06,2007-05-15,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9NZ45,non_surface,active,CISD1_HUMAN,false,,2026-08-06,2000-10-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q8N5K1,non_surface,active,CISD2_HUMAN,false,,2026-08-06,2002-10-01,,36,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
O75390,non_surface,active,CISY_HUMAN,false,,2026-08-06,2005-01-04,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q96D05,non_surface,active,CJ035_HUMAN,false,,2026-08-06,2001-12-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q5T2E6,non_surface,active,CJ076_HUMAN,false,,2026-08-06,2004-12-21,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q8TEF2,non_surface,active,CJ105_HUMAN,false,,2026-08-06,2009-05-05,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q8N326,non_surface,active,CJ111_HUMAN,false,,2026-08-06,2002-10-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q5T292,non_surface,active,CJ128_HUMAN,false,,2026-08-06,2004-12-21,19,19,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q07065,non_surface,active,CKAP4_HUMAN,false,,2026-08-06,2002-06-01,475,475,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q8IZ96,non_surface,active,CKLF1_HUMAN,false,,2026-08-06,2003-03-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q8TAZ6,non_surface,active,CKLF2_HUMAN,false,,2026-08-06,2002-06-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q96MX0,non_surface,active,CKLF3_HUMAN,false,,2026-08-06,2001-12-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q8IZR5,non_surface,active,CKLF4_HUMAN,false,,2026-08-06,2003-03-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9NX76,non_surface,active,CKLF6_HUMAN,false,,2026-08-06,2000-10-01,7,7,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q96FZ5,non_surface,active,CKLF7_HUMAN,false,,2026-08-06,2001-12-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q8IZV2,non_surface,active,CKLF8_HUMAN,false,,2026-08-06,2007-04-17,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9UBR5,non_surface,active,CKLF_HUMAN,false,,2026-08-06,2000-05-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q96N23,non_surface,merged,CL063_HUMAN,false,,2026-08-06,2015-02-04,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q96M19,non_surface,active,CL067_HUMAN,false,,2026-08-06,2001-12-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
P0C7M8,non_surface,active,CLC2L_HUMAN,false,,2026-08-06,2008-06-10,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q8N1N0,non_surface,active,CLC4F_HUMAN,false,,2026-08-06,2009-02-10,529,529,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
P51788,non_surface,active,CLCN2_HUMAN,false,,2026-08-06,2010-02-09,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
P51793,non_surface,active,CLCN4_HUMAN,false,,2026-08-06,2002-02-11,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
P51798,non_surface,active,CLCN7_HUMAN,false,,2026-08-06,2001-01-11,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
C9JDP6,non_surface,active,CLD25_HUMAN,false,,2026-08-06,2009-11-03,50,50,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
O14967,non_surface,active,CLGN_HUMAN,false,,2026-08-06,1998-01-01,,452,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q96JQ2,non_surface,active,CLMN_HUMAN,false,,2026-08-06,2001-12-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9NWW5,non_surface,active,CLN6_HUMAN,false,,2026-08-06,2000-10-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9UBY8,non_surface,active,CLN8_HUMAN,false,,2026-08-06,2007-04-17,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q96KA5,non_surface,active,CLP1L_HUMAN,false,,2026-08-06,2001-12-01,253,253,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
O75153,non_surface,active,CLU_HUMAN,false,,2026-08-06,2005-02-15,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q86VU5,non_surface,active,CMTD1_HUMAN,false,,2026-08-06,2003-06-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q8IYT2,non_surface,active,CMTR2_HUMAN,false,,2026-08-06,2009-11-24,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q86U02,non_surface,active,CN165_HUMAN,false,,2026-08-06,2003-06-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q86XI2,non_surface,active,CNDG2_HUMAN,false,,2026-08-06,2003-06-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q8IZM0,non_surface,active,CNG1O_HUMAN,false,,2026-08-06,2003-03-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
P29973,non_surface,active,CNGA1_HUMAN,false,,2026-08-06,2022-02-23,23,23,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q16280,non_surface,active,CNGA2_HUMAN,false,,2026-08-06,2006-12-12,23,23,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q16281,non_surface,active,CNGA3_HUMAN,false,,2026-08-06,2001-05-04,26,26,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q8IV77,non_surface,active,CNGA4_HUMAN,false,,2026-08-06,2010-11-02,23,23,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q14028,non_surface,active,CNGB1_HUMAN,false,,2026-08-06,2009-09-01,23,23,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9NQW8,non_surface,active,CNGB3_HUMAN,false,,2026-08-06,2010-11-02,22,22,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
O95406,non_surface,active,CNIH1_HUMAN,false,,2026-08-06,1999-05-01,,25,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q6PI25,non_surface,active,CNIH2_HUMAN,false,,2026-08-06,2004-07-05,,41,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q8TBE1,non_surface,active,CNIH3_HUMAN,false,,2026-08-06,2002-06-01,,41,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9P003,non_surface,active,CNIH4_HUMAN,false,,2026-08-06,2000-10-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q6PJW8,non_surface,active,CNST_HUMAN,false,,2026-08-06,2011-01-11,40,40,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q32M92,non_surface,active,CO032_HUMAN,false,,2026-08-06,2006-06-27,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q8N8G6,non_surface,active,CO054_HUMAN,false,,2026-08-06,2002-10-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9GZY4,non_surface,active,COA1_HUMAN,false,,2026-08-06,2001-03-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9Y2R0,non_surface,active,COA3_HUMAN,false,,2026-08-06,1999-11-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q5TAT6,non_surface,active,CODA1_HUMAN,false,,2026-08-06,2004-12-21,656,656,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9UMD9,non_surface,active,COHA1_HUMAN,false,,2026-08-06,2007-05-01,1009,1009,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q6ZS62,non_surface,active,COLC1_HUMAN,false,,2026-08-06,2004-07-05,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q86Y22,non_surface,active,CONA1_HUMAN,false,,2026-08-06,2003-06-01,484,484,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9BXS0,non_surface,active,COPA1_HUMAN,false,,2026-08-06,2010-05-18,600,600,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
O15432,non_surface,active,COPT2_HUMAN,false,,2026-08-06,1998-01-01,22,22,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q96H96,non_surface,active,COQ2_HUMAN,false,,2026-08-06,2022-10-12,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q12887,non_surface,active,COX10_HUMAN,false,,2026-08-06,2010-03-23,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9Y6N1,non_surface,active,COX11_HUMAN,false,,2026-08-06,2005-03-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q96I36,non_surface,active,COX14_HUMAN,false,,2026-08-06,2001-12-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q7KZN9,non_surface,active,COX15_HUMAN,false,,2026-08-06,2004-07-05,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q8N8Q8,non_surface,active,COX18_HUMAN,false,,2026-08-06,2002-10-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
P00395,non_surface,active,COX1_HUMAN,false,,2026-08-06,1986-07-21,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q5RI15,non_surface,active,COX20_HUMAN,false,,2026-08-06,2005-07-19,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
P00403,non_surface,active,COX2_HUMAN,false,,2026-08-06,1986-07-21,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
P00414,non_surface,active,COX3_HUMAN,false,,2026-08-06,2000-05-30,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
P13073,non_surface,active,COX41_HUMAN,false,,2026-08-06,1990-01-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q96KJ9,non_surface,active,COX42_HUMAN,false,,2026-08-06,2005-08-16,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
P09669,non_surface,active,COX6C_HUMAN,false,,2026-08-06,1996-02-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
P24311,non_surface,active,COX7B_HUMAN,false,,2026-08-06,1994-02-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
P15954,non_surface,active,COX7C_HUMAN,false,,2026-08-06,1990-04-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
O14548,non_surface,active,COX7R_HUMAN,false,,2026-08-06,2002-04-03,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
O60397,non_surface,active,COX7S_HUMAN,false,,2026-08-06,1998-08-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
P10176,non_surface,active,COX8A_HUMAN,false,,2026-08-06,1991-02-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q7Z4L0,non_surface,active,COX8C_HUMAN,false,,2026-08-06,2003-10-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q6UWD8,non_surface,active,CP054_HUMAN,false,,2026-08-06,2004-07-05,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q96LL3,non_surface,active,CP092_HUMAN,false,,2026-08-06,2001-12-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
H3BN30,non_surface,inactive,CP097_HUMAN,false,,,,,,,,not fetched: uniprot_inactive,,,,
P11511,non_surface,active,CP19A_HUMAN,false,,2026-08-06,2007-01-23,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
P05177,non_surface,active,CP1A2_HUMAN,false,,2026-08-06,2018-09-12,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q16678,non_surface,active,CP1B1_HUMAN,false,,2026-08-06,2004-06-07,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
P10635,non_surface,active,CP2D6_HUMAN,false,,2026-08-06,2005-12-20,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q96SQ9,non_surface,active,CP2S1_HUMAN,false,,2026-08-06,2004-06-07,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q7Z449,non_surface,active,CP2U1_HUMAN,false,,2026-08-06,2003-10-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9HB55,non_surface,active,CP343_HUMAN,false,,2026-08-06,2001-03-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9NYL5,non_surface,active,CP39A_HUMAN,false,,2026-08-06,2007-04-17,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
P08684,non_surface,active,CP3A4_HUMAN,false,,2026-08-06,2007-01-23,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
P20815,non_surface,active,CP3A5_HUMAN,false,,2026-08-06,1991-02-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
P24462,non_surface,active,CP3A7_HUMAN,false,,2026-08-06,2018-09-12,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q02928,non_surface,active,CP4AB_HUMAN,false,,2026-08-06,1997-11-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q5TCH4,non_surface,active,CP4AM_HUMAN,false,,2026-08-06,2004-12-21,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
P13584,non_surface,active,CP4B1_HUMAN,false,,2026-08-06,2004-06-07,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
P98187,non_surface,active,CP4F8_HUMAN,false,,2026-08-06,2000-05-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q6NT55,non_surface,active,CP4FN_HUMAN,false,,2026-08-06,2004-07-05,,22,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q6ZWL3,non_surface,active,CP4V2_HUMAN,false,,2026-08-06,2010-05-18,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q8N118,non_surface,active,CP4X1_HUMAN,false,,2026-08-06,2002-10-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q86W10,non_surface,active,CP4Z1_HUMAN,false,,2026-08-06,2003-06-01,,475,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q8N1L4,non_surface,active,CP4Z2_HUMAN,false,,2026-08-06,2008-04-29,,310,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q16850,non_surface,active,CP51A_HUMAN,false,,2026-08-06,2021-09-29,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
P22680,non_surface,active,CP7A1_HUMAN,false,,2026-08-06,1994-06-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
O75881,non_surface,active,CP7B1_HUMAN,false,,2026-08-06,2002-02-11,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9UNU6,non_surface,active,CP8B1_HUMAN,false,,2026-08-06,2010-10-05,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
P50416,non_surface,active,CPT1A_HUMAN,false,,2026-08-06,2004-12-07,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q92523,non_surface,active,CPT1B_HUMAN,false,,2026-08-06,1997-11-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q8TCG5,non_surface,active,CPT1C_HUMAN,false,,2026-08-06,2002-06-01,,28,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9BQA9,non_surface,active,CQ062_HUMAN,false,,2026-08-06,2001-06-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q0P670,non_surface,active,CQ074_HUMAN,false,,2026-08-06,2009-10-13,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9BSJ5,non_surface,active,CQ080_HUMAN,false,,2026-08-06,2011-01-11,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q96KH6,non_surface,inactive,CR012_HUMAN,false,,,,,,,,not fetched: uniprot_inactive,,,,
Q96N68,non_surface,active,CR015_HUMAN,false,,2026-08-06,2001-12-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q96BA8,non_surface,active,CR3L1_HUMAN,false,,2026-08-06,2001-12-01,,124,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q70SY1,non_surface,active,CR3L2_HUMAN,false,,2026-08-06,2010-05-18,,120,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q68CJ9,non_surface,active,CR3L3_HUMAN,false,,2026-08-06,2007-05-29,,118,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q8TEY5,non_surface,active,CR3L4_HUMAN,false,,2026-08-06,2002-06-01,,79,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
A6NIL9,non_surface,inactive,CRAS1_HUMAN,false,,,,,,,,not fetched: uniprot_inactive,,,,
O43889,non_surface,active,CREB3_HUMAN,false,,2026-08-06,2018-03-28,,124,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q494W8,non_surface,active,CRFM7_HUMAN,false,,2026-08-06,2005-09-13,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9UJA2,non_surface,active,CRLS1_HUMAN,false,,2026-08-06,2000-05-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q13536,non_surface,active,CROC4_HUMAN,false,,2026-08-06,1996-11-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
O14936,non_surface,active,CSKP_HUMAN,false,,2026-08-06,2007-04-17,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q4G0I0,non_surface,active,CSMT1_HUMAN,false,,2026-08-06,2005-08-30,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q7L5N1,non_surface,active,CSN6_HUMAN,false,,2026-08-06,2004-07-05,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9BUV8,non_surface,active,CT024_HUMAN,false,,2026-08-06,2001-06-01,,10,vocabulary,,,,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q9NUB4,non_surface,active,CT141_HUMAN,false,,2026-08-06,2000-10-01,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
Q2NKJ3,non_surface,active,CTC1_HUMAN,false,,2026-08-06,2010-03-23,,,,no_extracellular_span,"no topological domain with an accepted description, and no GPI anchor",,,,v2-ruled-vocabulary-2026-08-07@9e91462
