census_accession,span_aa,segment_count,extracellular_total_aa,discarded_aa,folded_fraction,topology,segments
O43497,136,12,428,292,0.318,intermittent,102-119;171-175;235-370;765-777;825-832;889-939;1296-1313;1365-1378;1435-1511;1632-1645;1694-1707;1767-1826
Q92932,594,1,594,0,1.000,contiguous,22-615
P08571,325,0,0,0,,no_accepted_segment,
Q9BYW1,29,6,76,47,0.382,intermittent,33-61;119-128;179-187;295-311;360-364;430-435
P08887,346,1,346,0,1.000,contiguous,20-365
Q8NGR2,62,4,134,72,0.463,intermittent,1-62;117-137;196-233;297-309
Q8NGL0,36,4,98,62,0.367,intermittent,1-25;76-99;161-196;259-271
P30556,25,4,69,44,0.362,intermittent,1-25;90-98;166-190;269-278
P56880,53,2,74,21,0.716,intermittent,29-81;140-160
P59646,18,1,18,0,1.000,contiguous,21-38
O60741,26,4,64,38,0.406,intermittent,165-173;237-260;319-344;367-371
Q8NGV0,36,4,95,59,0.379,intermittent,1-25;80-100;159-194;259-271
Q969V1,39,4,93,54,0.419,intermittent,1-39;91-104;176-200;274-288
P21145,11,2,18,7,0.611,intermittent,47-53;115-125
Q13224,529,2,701,172,0.755,intermittent,27-555;648-819
P29317,514,1,514,0,1.000,contiguous,24-537
Q9GZX3,369,1,369,0,1.000,contiguous,27-395
Q9BZ11,672,1,672,0,1.000,contiguous,30-701
P51674,65,2,106,41,0.613,intermittent,44-84;149-213
Q9NYW2,32,4,56,24,0.571,intermittent,1-7;72-82;153-184;261-266
O15455,681,1,681,0,1.000,contiguous,24-704
Q04721,1652,1,1652,0,1.000,contiguous,26-1677
A6NHG9,31,4,90,59,0.344,intermittent,1-28;78-98;165-195;262-271
Q6IF99,37,4,99,62,0.374,intermittent,1-25;76-99;161-197;259-271
P48039,29,4,84,55,0.345,intermittent,1-29;85-102;164-187;262-274
Q9ULK6,174,1,174,0,1.000,contiguous,35-208
Q16585,232,1,232,0,1.000,contiguous,87-318
Q7LBE3,30,8,97,67,0.309,intermittent,97-99;143-171;225-235;245-254;298-327;383-390;424-428;477-477
P14672,36,6,87,51,0.414,intermittent,46-81;133-142;193-201;309-323;375-384;439-445
O14843,25,4,79,54,0.316,intermittent,1-19;69-88;154-178;244-258
Q8NE79,48,2,49,1,0.980,intermittent,1-48;92-92
Q9NUN5,57,5,157,100,0.363,intermittent,1-10;72-100;166-188;327-364;430-486
Q7Z6L0,2,1,2,0,1.000,contiguous,339-340
Q9Y6N7,872,1,872,0,1.000,contiguous,26-897
A3KFT3,37,4,96,59,0.385,intermittent,1-25;80-100;159-195;260-272
Q8NGQ5,37,4,99,62,0.374,intermittent,1-25;76-99;161-197;258-270
O60245,851,1,851,0,1.000,contiguous,29-879
P25090,29,4,74,45,0.392,intermittent,1-27;87-94;164-192;269-278
Q9H295,91,3,156,65,0.583,intermittent,56-57;119-209;314-376
Q9NSC7,565,1,565,0,1.000,contiguous,36-600
Q96MS0,871,1,871,0,1.000,contiguous,21-891
P24530,75,4,127,52,0.591,intermittent,27-101;164-175;244-271;351-362
Q9H2S6,267,1,267,0,1.000,contiguous,51-317
O14817,95,2,116,21,0.819,intermittent,35-55;107-201
Q12884,735,1,735,0,1.000,contiguous,26-760
Q14500,25,2,34,9,0.735,intermittent,105-129;147-155
Q07065,475,1,475,0,1.000,contiguous,128-602
P11229,22,4,61,39,0.361,intermittent,1-22;85-95;165-185;391-397
Q14832,554,4,600,46,0.923,intermittent,23-576;635-645;710-734;793-802
Q9BSN7,77,2,90,13,0.856,intermittent,27-103;158-170
Q8NHA6,36,4,97,61,0.371,intermittent,1-31;85-103;167-202;267-277
Q9C0E8,11,1,11,0,1.000,contiguous,67-77
Q9NQZ7,497,1,497,0,1.000,contiguous,50-546
P42261,518,2,693,175,0.747,intermittent,19-536;631-805
O43603,28,4,73,45,0.384,intermittent,1-28;82-99;163-187;259-260
Q9Y5U5,137,1,137,0,1.000,contiguous,26-162
Q9NT99,541,1,541,0,1.000,contiguous,36-576
Q8NGB9,37,4,94,57,0.394,intermittent,1-25;80-100;159-195;259-269
Q96K49,172,4,222,50,0.775,intermittent,43-214;269-299;344-350;418-429
P53708,974,1,974,0,1.000,contiguous,39-1012
Q8IZP9,590,4,628,38,0.939,intermittent,38-627;689-693;759-789;856-857
Q9NW15,79,4,122,43,0.648,intermittent,229-240;338-352;422-500;575-590
Q9H2H9,38,6,106,68,0.358,intermittent,98-112;169-188;238-275;334-350;415-416;474-487
Q7Z3Q1,48,6,89,41,0.539,intermittent,26-73;125-133;192-197;283-294;346-347;404-415
Q8TDU9,43,4,105,62,0.410,intermittent,1-43;100-116;176-209;271-281
P47871,111,4,168,57,0.661,intermittent,26-136;199-225;286-303;370-381
Q8IXU6,15,5,49,34,0.306,intermittent,60-72;126-135;186-194;248-262;312-313
Q8NGS7,37,4,105,68,0.352,intermittent,1-25;76-99;161-197;259-277
Q8NGG2,64,4,137,73,0.467,intermittent,1-64;115-138;200-235;298-310
Q5VZ72,154,1,154,0,1.000,contiguous,21-174
Q96DU3,205,1,205,0,1.000,contiguous,22-226
Q695T7,88,6,212,124,0.415,intermittent,63-67;142-192;243-268;326-413;478-490;553-581
O94966,6,1,6,0,1.000,contiguous,1313-1318
Q9UP38,250,4,344,94,0.727,intermittent,73-322;376-402;467-489;558-601
Q9Y653,376,4,414,38,0.908,intermittent,26-401;461-465;534-562;625-628
O14494,49,3,84,35,0.583,intermittent,28-53;116-164;221-229
O14944,60,1,60,0,1.000,contiguous,60-119
P78380,216,1,216,0,1.000,contiguous,58-273
Q96PJ5,368,1,368,0,1.000,contiguous,20-387
Q5J8M3,35,2,46,11,0.761,intermittent,88-98;149-183
Q9NYV8,34,4,60,26,0.567,intermittent,1-7;77-87;151-184;254-261
O75096,1705,1,1705,0,1.000,contiguous,21-1725
P57679,25,1,25,0,1.000,contiguous,1-25
Q5SGD2,25,1,25,0,1.000,contiguous,1-25
Q9Y585,37,4,95,58,0.389,intermittent,1-25;80-100;159-195;259-270
A6NJW9,152,1,152,0,1.000,contiguous,19-170
Q6IEE7,868,1,868,0,1.000,contiguous,26-893
Q8NHC4,36,4,98,62,0.367,intermittent,1-25;76-99;161-196;258-270
Q8NGY0,41,4,112,71,0.366,intermittent,1-41;92-115;177-213;275-284
O95274,295,0,0,0,,no_accepted_segment,
P51654,195,0,0,0,,no_accepted_segment,
Q9H400,6,1,6,0,1.000,contiguous,1-6
A6NI73,227,1,227,0,1.000,contiguous,42-268
P98155,770,1,770,0,1.000,contiguous,28-797
P42081,224,1,224,0,1.000,contiguous,24-247
O95562,6,2,10,4,0.600,intermittent,58-63;120-123
P21554,116,4,158,42,0.734,intermittent,1-116;176-187;256-273;366-377
Q9H1V8,105,6,229,124,0.459,intermittent,91-95;169-222;275-300;356-460;512-527;595-617
Q9H346,36,4,104,68,0.346,intermittent,1-28;79-102;164-199;262-277
Q9Y5H2,664,1,664,0,1.000,contiguous,30-693
Q13607,40,4,96,56,0.417,intermittent,1-24;80-100;161-200;262-272
P15509,298,1,298,0,1.000,contiguous,23-320
Q99665,599,1,599,0,1.000,contiguous,24-622
Q8N6Q3,386,0,0,0,,no_accepted_segment,
Q92959,103,6,238,135,0.433,intermittent,53-71;124-167;237-254;344-363;416-518;577-610
Q16820,630,1,630,0,1.000,contiguous,23-652
Q8IZF0,70,16,269,199,0.260,intermittent,58-65;130-137;200-269;290-294;404-416;469-472;531-543;564-569;907-915;973-980;1040-1104;1125-1129;1228-1236;1294-1296;1358-1378;1399-1420
P04839,45,3,88,43,0.511,intermittent,37-46;131-163;223-267
Q8NGD3,37,4,94,57,0.394,intermittent,1-25;80-100;159-195;259-269
Q6ZNR0,97,2,109,12,0.890,intermittent,1-97;161-172
P28336,41,4,105,64,0.390,intermittent,1-41;100-117;178-211;288-299
O71037,543,1,543,0,1.000,contiguous,90-632
O60704,352,1,352,0,1.000,contiguous,26-377
Q9BZJ7,27,4,74,47,0.365,intermittent,1-18;75-91;151-177;261-272
Q15035,32,4,72,40,0.444,intermittent,44-75;141-159;210-214;272-287
Q8N5M9,20,2,31,11,0.645,intermittent,61-71;118-137
Q8NGT1,35,4,77,42,0.455,intermittent,1-20;87-97;165-199;260-270
Q9P0T7,69,1,69,0,1.000,contiguous,21-89
P19075,96,2,120,24,0.800,intermittent,34-57;110-205
Q9NQS3,347,1,347,0,1.000,contiguous,58-404
Q8NDX2,33,6,81,48,0.407,intermittent,98-130;175-182;243-249;336-353;412-413;469-481
Q9NYQ7,2508,4,2540,32,0.987,intermittent,33-2540;2594-2601;2665-2681;2747-2753
P24390,10,4,26,16,0.385,intermittent,1-4;53-58;111-116;169-178
Q86UP0,597,1,597,0,1.000,contiguous,45-641
Q8NH51,37,4,99,62,0.374,intermittent,1-25;76-99;161-197;258-270
Q8NH41,37,4,94,57,0.394,intermittent,1-25;80-100;159-195;259-269
Q96N19,33,4,86,53,0.384,intermittent,1-31;82-89;162-175;242-274
Q8NF37,456,1,456,0,1.000,contiguous,79-534
Q99788,48,4,124,76,0.387,intermittent,1-41;98-114;177-224;283-300
Q9H5I5,248,19,642,394,0.386,intermittent,25-30;77-122;238-240;288-335;515-519;563-583;700-705;754-785;957-962;1002-1057;1139-1140;1186-1222;1311-1316;1365-1413;1937-1943;1984-2016;2210-2231;2281-2289;2422-2669
Q9H2J7,96,2,159,63,0.604,intermittent,163-225;357-452
Q07837,577,1,577,0,1.000,contiguous,109-685
O60831,3,2,5,2,0.600,intermittent,63-64;120-122
P07333,498,1,498,0,1.000,contiguous,20-517
Q6UX82,195,0,0,0,,no_accepted_segment,
P41143,47,4,94,47,0.500,intermittent,1-47;111-122;187-206;285-299
P18827,232,1,232,0,1.000,contiguous,23-254
O60423,27,5,77,50,0.351,intermittent,172-177;404-430;1017-1028;1101-1112;1163-1182
Q96CH1,30,4,93,63,0.323,intermittent,1-30;87-102;168-189;255-279
Q8NBV8,34,1,34,0,1.000,contiguous,1-34
O43424,543,2,720,177,0.754,intermittent,24-566;654-830
Q8NH48,42,4,102,60,0.412,intermittent,1-23;74-97;153-194;257-269
P20916,497,1,497,0,1.000,contiguous,20-516
Q9Y624,211,1,211,0,1.000,contiguous,28-238
Q9Y672,90,6,208,118,0.433,intermittent,25-114;165-172;248-297;345-361;409-437;494-507
Q9Y5E1,664,1,664,0,1.000,contiguous,27-690
Q8NHK3,217,1,217,0,1.000,contiguous,22-238
Q96CC6,223,4,261,38,0.854,intermittent,433-655;713-714;768-772;825-855
O43291,170,1,170,0,1.000,contiguous,28-197
O43688,54,3,89,35,0.607,intermittent,26-51;109-162;218-226
Q16706,1118,1,1118,0,1.000,contiguous,27-1144
Q96F25,3,1,3,0,1.000,contiguous,1-3
Q9Y4D2,17,2,31,14,0.548,intermittent,44-60;123-136
Q03167,767,1,767,0,1.000,contiguous,21-787
Q86UE4,48,1,48,0,1.000,contiguous,1-48
Q9BY10,34,6,82,48,0.415,intermittent,45-78;130-138;194-205;304-320;369-370;428-435
Q9UIW2,1218,1,1218,0,1.000,contiguous,27-1244
Q9Y231,327,1,327,0,1.000,contiguous,33-359
Q9H0R3,55,2,56,1,0.982,intermittent,1-55;186-186
Q8WXA8,221,3,226,5,0.978,intermittent,28-248;304-306;446-447
P13987,76,0,0,0,,no_accepted_segment,
Q9UN73,668,1,668,0,1.000,contiguous,30-697
Q70JA7,854,1,854,0,1.000,contiguous,29-882
Q96QU1,1350,1,1350,0,1.000,contiguous,27-1376
Q96LD1,241,1,241,0,1.000,contiguous,59-299
P40197,507,1,507,0,1.000,contiguous,17-523
Q495T6,731,1,731,0,1.000,contiguous,49-779
Q8WUX1,44,6,112,68,0.393,intermittent,72-87;147-166;214-257;317-334;398-399;461-472
Q9P2E5,743,1,743,0,1.000,contiguous,30-772
Q96NI6,512,1,512,0,1.000,contiguous,18-529
Q13651,214,1,214,0,1.000,contiguous,22-235
Q15262,726,1,726,0,1.000,contiguous,27-752
Q6NT55,22,1,22,0,1.000,contiguous,1-22
Q12866,485,1,485,0,1.000,contiguous,21-505
Q8NH05,37,4,94,57,0.394,intermittent,1-25;81-101;160-196;260-270
P47884,38,4,95,57,0.400,intermittent,1-25;80-100;159-196;261-271
Q08ET2,342,1,342,0,1.000,contiguous,17-358
P07307,232,1,232,0,1.000,contiguous,80-311
O43895,627,0,0,0,,no_accepted_segment,
P42701,522,1,522,0,1.000,contiguous,24-545
Q96AJ9,4,1,4,0,1.000,contiguous,214-217
Q86XT9,166,1,166,0,1.000,contiguous,39-204
Q9NWW9,8,1,8,0,1.000,contiguous,155-162
Q15223,325,1,325,0,1.000,contiguous,31-355
O43193,68,4,135,67,0.504,intermittent,1-35;95-112;179-246;321-334
Q15375,528,1,528,0,1.000,contiguous,28-555
P52799,202,1,202,0,1.000,contiguous,28-229
Q9UBY5,31,4,78,47,0.397,intermittent,1-31;89-101;168-186;262-276
Q9HBL7,52,2,100,48,0.520,intermittent,1-52;100-147
Q8IXA5,131,1,131,0,1.000,contiguous,85-215
Q9H207,37,4,100,63,0.370,intermittent,1-26;77-100;162-198;260-272
Q9UKP6,54,4,101,47,0.535,intermittent,1-54;114-124;187-209;285-297
Q9Y5N1,39,4,90,51,0.433,intermittent,1-39;92-108;178-196;381-395
Q6ZPB5,40,2,71,31,0.563,intermittent,27-66;116-146
Q9BTN0,523,1,523,0,1.000,contiguous,17-539
Q9UH99,484,1,484,0,1.000,contiguous,234-717
P61803,1,1,1,0,1.000,contiguous,52-52
P32004,1101,1,1101,0,1.000,contiguous,20-1120
Q15620,37,4,99,62,0.374,intermittent,1-25;76-99;161-197;259-271
Q6ISU1,123,1,123,0,1.000,contiguous,24-146
O14798,210,0,0,0,,no_accepted_segment,
Q9NYW5,20,4,54,34,0.370,intermittent,1-9;68-81;153-172;252-262
Q86W47,127,1,127,0,1.000,contiguous,41-167
Q8NGZ0,37,4,96,59,0.385,intermittent,1-25;80-100;159-195;260-272
Q8NGL7,37,4,92,55,0.402,intermittent,1-23;78-98;157-193;257-267
P21754,365,1,365,0,1.000,contiguous,23-387
O60476,584,1,584,0,1.000,contiguous,58-641
Q96R48,38,4,97,59,0.392,intermittent,1-24;79-100;159-196;260-272
P41597,42,4,101,59,0.416,intermittent,1-42;101-114;179-206;269-285
Q86TY3,687,1,687,0,1.000,contiguous,28-714
Q8TAD4,20,8,79,59,0.253,intermittent,54-56;120-120;174-193;260-267;325-342;440-448;505-520;614-617
Q8NGU1,35,4,84,49,0.417,intermittent,1-24;86-99;162-196;261-271
Q9GZU1,212,4,245,33,0.865,intermittent,87-298;372-382;449-456;478-491
Q6ZN44,281,1,281,0,1.000,contiguous,26-306
P48051,24,2,33,9,0.727,intermittent,115-138;158-166
Q9BY07,114,6,173,59,0.659,intermittent,545-555;629-742;796-828;884-888;949-953;1035-1039
Q6IEZ7,37,4,100,63,0.370,intermittent,1-29;84-104;163-199;264-276
P15907,380,1,380,0,1.000,contiguous,27-406
Q8WZ55,6,1,6,0,1.000,contiguous,27-32
O94779,1053,0,0,0,,no_accepted_segment,
Q969M2,39,2,62,23,0.629,intermittent,38-76;187-209
P30559,35,4,78,43,0.449,intermittent,1-35;103-108;175-199;297-308
Q8WWF5,223,1,223,0,1.000,contiguous,28-250
Q8NHC5,42,4,102,60,0.412,intermittent,1-23;74-97;153-194;256-268
P60201,56,2,83,27,0.675,intermittent,37-63;178-233
Q9UBM8,434,1,434,0,1.000,contiguous,45-478
Q13634,555,1,555,0,1.000,contiguous,54-608
Q8TDX6,497,1,497,0,1.000,contiguous,36-532
Q8NGG6,37,4,98,61,0.378,intermittent,1-24;75-98;160-196;258-270
Q8NB49,35,5,85,50,0.412,intermittent,86-86;312-346;901-908;977-995;1048-1069
P13945,39,4,78,39,0.500,intermittent,1-39;101-108;175-202;319-321
P32247,41,4,115,74,0.357,intermittent,1-41;104-121;185-220;294-313
Q9Y5H6,668,1,668,0,1.000,contiguous,30-697
Q9H1C0,30,4,92,62,0.326,intermittent,1-26;77-96;158-187;261-276
Q8NHE4,25,2,32,7,0.781,intermittent,1-7;57-81
O14525,900,2,1032,132,0.872,intermittent,22-153;403-1302
Q9P0S3,2,1,2,0,1.000,contiguous,122-123
P41145,57,4,111,54,0.514,intermittent,1-57;120-132;197-222;297-311
Q8IU68,65,4,166,101,0.392,intermittent,136-200;321-338;448-488;553-594
Q8N349,37,4,95,58,0.389,intermittent,1-24;79-99;158-194;259-271
Q8NBL3,154,2,182,28,0.846,intermittent,26-179;230-257
P11836,47,2,53,6,0.887,intermittent,79-84;142-188
O00445,24,1,24,0,1.000,contiguous,1-24
Q9H3W5,606,1,606,0,1.000,contiguous,23-628
P13612,943,1,943,0,1.000,contiguous,35-977
Q9UKJ0,172,1,172,0,1.000,contiguous,20-191
B2RN74,44,4,107,63,0.411,intermittent,1-44;94-112;180-216;281-287
Q8NGC3,37,4,101,64,0.366,intermittent,1-29;81-104;166-202;264-274
Q9NS84,452,1,452,0,1.000,contiguous,35-486
O43613,46,4,106,60,0.434,intermittent,1-46;106-119;183-213;322-336
Q99437,18,3,38,20,0.474,intermittent,1-3;73-90;159-175
Q86Y22,484,1,484,0,1.000,contiguous,57-540
Q8NH49,37,4,92,55,0.402,intermittent,1-23;78-98;157-193;257-267
Q3V5L5,747,1,747,0,1.000,contiguous,46-792
P21728,29,4,74,45,0.392,intermittent,1-23;88-96;164-192;300-312
A0PJX4,77,1,77,0,1.000,contiguous,22-98
P0C7U0,391,1,391,0,1.000,contiguous,28-418
Q6UWV2,127,1,127,0,1.000,contiguous,32-158
Q99075,141,1,141,0,1.000,contiguous,20-160
Q05901,216,1,216,0,1.000,contiguous,22-237
B8ZZ34,100,1,100,0,1.000,contiguous,39-138
Q8NBW4,58,5,115,57,0.504,intermittent,141-146;226-283;335-356;416-437;501-507
P16871,219,1,219,0,1.000,contiguous,21-239
P43115,53,4,122,69,0.434,intermittent,1-53;113-131;198-227;308-327
Q9P2E7,697,1,697,0,1.000,contiguous,19-715
Q7L5N7,466,1,466,0,1.000,contiguous,79-544
Q6UWI4,77,1,77,0,1.000,contiguous,34-110
P56817,436,1,436,0,1.000,contiguous,22-457
Q96JQ0,2898,1,2898,0,1.000,contiguous,43-2940
Q4U2R8,105,6,139,34,0.755,intermittent,31-135;188-190;246-248;359-368;417-425;476-484
O95976,126,1,126,0,1.000,contiguous,28-153
Q9P296,38,4,101,63,0.376,intermittent,1-38;96-114;173-202;261-274
Q8WWB7,337,1,337,0,1.000,contiguous,36-372
P08581,908,1,908,0,1.000,contiguous,25-932
Q7L5L3,175,1,175,0,1.000,contiguous,24-198
P51993,325,1,325,0,1.000,contiguous,35-359
Q13003,532,2,695,163,0.765,intermittent,32-563;658-820
Q8NDV1,277,1,277,0,1.000,contiguous,29-305
Q6UX72,375,1,375,0,1.000,contiguous,28-402
Q9ULB4,562,1,562,0,1.000,contiguous,54-615
O60469,1578,1,1578,0,1.000,contiguous,18-1595
O95838,173,4,229,56,0.755,intermittent,1-173;236-261;322-339;406-417
P40259,131,1,131,0,1.000,contiguous,29-159
Q685J3,4368,1,4368,0,1.000,contiguous,26-4393
Q8WXI7,14451,1,14451,0,1.000,contiguous,1-14451
Q9UPX6,4,1,4,0,1.000,contiguous,913-916
P05026,241,1,241,0,1.000,contiguous,63-303
Q9BVC6,50,2,79,29,0.633,intermittent,34-83;157-185
B4DJY2,4,1,4,0,1.000,contiguous,106-109
O43916,388,1,388,0,1.000,contiguous,24-411
Q8NGD4,37,4,94,57,0.394,intermittent,1-25;80-100;159-195;259-269
Q16720,37,5,108,71,0.343,intermittent,119-155;385-417;870-879;944-961;1025-1034
Q9H6X4,11,1,11,0,1.000,contiguous,144-154
P13726,219,1,219,0,1.000,contiguous,33-251
Q6IFN5,43,4,117,74,0.368,intermittent,1-43;94-117;179-215;277-289
P78324,343,1,343,0,1.000,contiguous,31-373
Q15391,29,4,100,71,0.290,intermittent,1-29;77-96;161-188;256-278
Q96S06,179,3,305,126,0.587,intermittent,73-127;222-292;389-567
A0FGR8,3,1,3,0,1.000,contiguous,125-127
A8MVS5,98,1,98,0,1.000,contiguous,20-117
P29371,84,4,140,56,0.600,intermittent,1-84;140-159;223-245;322-334
P62079,119,2,142,23,0.838,intermittent,39-61;114-232
P19021,833,1,833,0,1.000,contiguous,31-863
Q96GC9,120,4,166,46,0.723,intermittent,65-77;131-250;295-305;385-406
Q13467,212,4,289,77,0.734,intermittent,27-238;292-315;380-402;471-500
Q8NH04,37,4,79,42,0.468,intermittent,1-22;84-97;161-197;266-271
P32418,39,6,80,41,0.487,intermittent,36-74;158-170;226-231;822-824;896-906;966-973
Q8NG75,37,4,110,73,0.336,intermittent,1-37;88-111;173-208;271-283
Q6ZQN7,109,6,224,115,0.487,intermittent,127-145;198-223;296-311;400-419;472-580;639-672
Q8NGQ2,37,4,103,66,0.359,intermittent,1-27;78-103;165-201;263-275
O60449,1639,1,1639,0,1.000,contiguous,28-1666
Q8NGW6,53,4,126,73,0.421,intermittent,1-53;104-127;189-224;286-298
P19526,340,1,340,0,1.000,contiguous,26-365
Q9H1C3,325,1,325,0,1.000,contiguous,25-349
Q8NGH5,36,4,107,71,0.336,intermittent,1-32;83-106;168-203;266-280
Q9Y4C5,455,1,455,0,1.000,contiguous,76-530
Q6RW13,23,2,33,10,0.697,intermittent,1-23;77-86
P00533,621,1,621,0,1.000,contiguous,25-645
Q06136,2,1,2,0,1.000,contiguous,292-293
P54756,549,1,549,0,1.000,contiguous,25-573
O43653,71,0,0,0,,no_accepted_segment,
P12319,180,1,180,0,1.000,contiguous,26-205
P34998,90,4,126,36,0.714,intermittent,24-113;177-185;250-267;330-338
P11279,354,1,354,0,1.000,contiguous,29-382
O15155,3,1,3,0,1.000,contiguous,116-118
Q9Y5F7,663,1,663,0,1.000,contiguous,30-692
P28472,221,3,236,15,0.936,intermittent,26-246;293-304;471-473
Q5T292,19,1,19,0,1.000,contiguous,20-38
O75841,122,2,146,24,0.836,intermittent,37-60;108-229
Q5QGT7,6,1,6,0,1.000,contiguous,220-225
Q9BRK3,322,1,322,0,1.000,contiguous,20-341
P31785,240,1,240,0,1.000,contiguous,23-262
Q99650,713,1,713,0,1.000,contiguous,28-740
P43220,116,4,170,54,0.682,intermittent,24-139;202-227;291-305;371-383
Q9P2S2,1608,1,1608,0,1.000,contiguous,29-1636
Q14773,210,1,210,0,1.000,contiguous,31-240
Q8NH06,51,4,117,66,0.436,intermittent,1-39;93-111;159-209;279-286
Q6ZMB0,353,1,353,0,1.000,contiguous,32-384
O14523,9,1,9,0,1.000,contiguous,1-9
Q6IA17,118,1,118,0,1.000,contiguous,1-118
P09848,1863,1,1863,0,1.000,contiguous,20-1882
O15031,1178,1,1178,0,1.000,contiguous,20-1197
P13164,18,1,18,0,1.000,contiguous,108-125
P47898,36,4,71,35,0.507,intermittent,1-36;104-114;177-198;313-314
P56373,279,1,279,0,1.000,contiguous,44-322
Q8IV01,18,1,18,0,1.000,contiguous,1-18
Q6NUT2,66,4,146,80,0.452,intermittent,129-194;318-343;393-422;510-533
Q8N138,4,1,4,0,1.000,contiguous,118-121
A6NCV1,33,4,78,45,0.423,intermittent,1-23;85-95;162-194;259-269
P43489,186,1,186,0,1.000,contiguous,29-214
A6NC51,23,3,43,20,0.535,intermittent,29-51;106-116;177-185
Q6ZVE7,11,2,12,1,0.917,intermittent,31-31;90-100
Q96F05,380,1,380,0,1.000,contiguous,21-400
Q9H598,51,5,108,57,0.472,intermittent,154-204;287-305;363-383;460-461;511-525
P55899,274,1,274,0,1.000,contiguous,24-297
P01911,198,1,198,0,1.000,contiguous,30-227
Q9HAV5,138,1,138,0,1.000,contiguous,1-138
Q6U736,33,4,87,54,0.379,intermittent,1-33;96-108;172-197;274-288
Q15743,16,4,39,23,0.410,intermittent,1-12;85-89;161-176;255-260
P40238,466,1,466,0,1.000,contiguous,26-491
Q8WUT4,661,1,661,0,1.000,contiguous,19-679
Q9UJ37,346,1,346,0,1.000,contiguous,29-374
Q13641,324,1,324,0,1.000,contiguous,32-355
Q86XX4,3875,1,3875,0,1.000,contiguous,27-3901
Q12907,278,1,278,0,1.000,contiguous,45-322
Q07444,147,1,147,0,1.000,contiguous,94-240
Q9BQ51,201,1,201,0,1.000,contiguous,20-220
P33947,10,4,26,16,0.385,intermittent,1-4;53-58;111-116;169-178
Q8TDY8,933,1,933,0,1.000,contiguous,25-957
P78423,317,1,317,0,1.000,contiguous,25-341
Q16563,62,2,103,41,0.602,intermittent,55-116;172-212
Q9NY25,161,1,161,0,1.000,contiguous,28-188
Q8NGQ4,38,4,104,66,0.365,intermittent,1-29;80-103;165-202;264-276
Q6NUJ2,38,1,38,0,1.000,contiguous,24-61
P05023,47,5,86,39,0.547,intermittent,117-127;313-318;796-803;871-917;971-984
P20138,242,1,242,0,1.000,contiguous,18-259
Q8NGF9,37,4,86,49,0.430,intermittent,1-17;72-92;151-187;251-261
Q9BZZ2,1622,1,1622,0,1.000,contiguous,20-1641
P08842,349,2,512,163,0.682,intermittent,22-184;235-583
Q9NYM4,54,4,112,58,0.482,intermittent,18-71;130-145;209-238;316-327
P82251,28,5,72,44,0.389,intermittent,56-62;138-147;194-217;275-302;432-434
Q14953,224,1,224,0,1.000,contiguous,22-245
O00481,225,1,225,0,1.000,contiguous,30-254
Q8TDN2,85,4,121,36,0.702,intermittent,177-261;358-374;432-444;466-471
Q9UGT4,758,1,758,0,1.000,contiguous,28-785
Q6P179,920,1,920,0,1.000,contiguous,41-960
P30989,67,4,134,67,0.500,intermittent,1-67;123-142;206-234;326-343
Q5UAW9,26,4,70,44,0.371,intermittent,1-15;70-87;141-166;248-258
Q96NY8,318,1,318,0,1.000,contiguous,32-349
Q9P2W9,5,1,5,0,1.000,contiguous,331-335
Q6UX27,119,1,119,0,1.000,contiguous,17-135
Q8NGJ1,37,4,94,57,0.394,intermittent,1-25;80-100;159-195;259-269
Q5T2D2,250,1,250,0,1.000,contiguous,19-268
Q9UBN6,156,1,156,0,1.000,contiguous,56-211
Q96T53,19,6,52,33,0.365,intermittent,1-5;57-59;102-120;228-240;339-340;398-407
P61073,38,4,91,53,0.418,intermittent,1-38;100-110;175-195;262-282
P14679,458,1,458,0,1.000,contiguous,19-476
P35916,751,1,751,0,1.000,contiguous,25-775
Q8N8Z6,425,1,425,0,1.000,contiguous,35-459
Q53R12,23,3,55,32,0.418,intermittent,1-14;66-83;207-229
Q9BZJ8,44,4,100,56,0.440,intermittent,1-44;99-112;179-206;311-324
Q02246,981,0,0,0,,no_accepted_segment,
Q12908,39,4,107,68,0.364,intermittent,1-28;104-126;179-195;246-284
Q9H251,3041,1,3041,0,1.000,contiguous,24-3064
Q9UN70,662,1,662,0,1.000,contiguous,32-693
O60353,183,4,274,91,0.668,intermittent,19-201;255-284;346-370;438-473
Q8NGJ4,36,4,102,66,0.353,intermittent,1-27;78-101;163-198;260-274
Q86TG1,52,3,75,23,0.693,intermittent,24-75;130-140;200-211
Q7RTY9,244,0,0,0,,no_accepted_segment,
Q9Y5H1,664,1,664,0,1.000,contiguous,29-692
Q96N87,88,6,219,131,0.402,intermittent,48-51;112-178;231-253;312-399;466-474;541-568
Q14517,4160,1,4160,0,1.000,contiguous,22-4181
Q8N350,45,1,45,0,1.000,contiguous,1-45
Q8TC27,508,1,508,0,1.000,contiguous,175-682
O15403,20,6,60,40,0.333,intermittent,43-62;113-118;171-184;321-330;380-381;445-452
Q9BZ76,1220,1,1220,0,1.000,contiguous,26-1245
Q9H4F1,275,1,275,0,1.000,contiguous,28-302
Q12809,43,4,79,36,0.544,intermittent,425-450;517-520;569-611;633-638
Q9H756,246,1,246,0,1.000,contiguous,25-270
P21802,356,1,356,0,1.000,contiguous,22-377
O75899,442,4,494,52,0.895,intermittent,42-483;544-551;619-654;713-720
