census_accession,census_class,span_aa,span_rule,band,tier,tier_reason,dtype,chunk_size,fold_order,span_definition,guards
Q7KYR7,surface,220,vocabulary,local,local,,int8,64,744,v2-ruled-vocabulary-2026-08-07,
Q9NXW2,non_surface,111,vocabulary,local,local,,int8,64,745,v2-ruled-vocabulary-2026-08-07,
Q9Y385,non_surface,15,vocabulary,local,local,,int8,64,746,v2-ruled-vocabulary-2026-08-07,
Q6PJW8,non_surface,40,vocabulary,local,local,,int8,64,747,v2-ruled-vocabulary-2026-08-07,
Q15836,non_surface,2,vocabulary,local,local,,int8,64,748,v2-ruled-vocabulary-2026-08-07,
Q9P0V8,surface,211,vocabulary,local,local,,int8,64,749,v2-ruled-vocabulary-2026-08-07,
Q96RL6,surface,534,vocabulary,untested_band,rental,unmeasured_local_ceiling,fp16,64,750,v2-ruled-vocabulary-2026-08-07,
P43631,surface,224,vocabulary,local,local,,int8,64,751,v2-ruled-vocabulary-2026-08-07,
Q9NR16,surface,1319,vocabulary,above_local,rental,over_local_ceiling,fp16,64,752,v2-ruled-vocabulary-2026-08-07,
P08908,surface,38,vocabulary,local,local,,int8,64,753,v2-ruled-vocabulary-2026-08-07,
Q8NGE1,surface,37,vocabulary,local,local,,int8,64,754,v2-ruled-vocabulary-2026-08-07,
Q8NGD1,surface,37,vocabulary,local,local,,int8,64,755,v2-ruled-vocabulary-2026-08-07,
Q14500,surface,25,vocabulary,local,local,,int8,64,756,v2-ruled-vocabulary-2026-08-07,
Q9NZQ7,surface,220,vocabulary,local,local,,int8,64,757,v2-ruled-vocabulary-2026-08-07,
P25021,surface,20,vocabulary,local,local,,int8,64,758,v2-ruled-vocabulary-2026-08-07,
Q8NG81,surface,37,vocabulary,local,local,,int8,64,759,v2-ruled-vocabulary-2026-08-07,
P49961,surface,441,vocabulary,untested_band,rental,unmeasured_local_ceiling,fp16,64,760,v2-ruled-vocabulary-2026-08-07,
P09693,surface,94,vocabulary,local,local,,int8,64,761,v2-ruled-vocabulary-2026-08-07,
P18507,surface,236,vocabulary,local,local,,int8,64,762,v2-ruled-vocabulary-2026-08-07,
Q9HAS3,surface,78,vocabulary,local,local,,int8,64,763,v2-ruled-vocabulary-2026-08-07,
Q496J9,surface,120,vocabulary,local,local,,int8,64,764,v2-ruled-vocabulary-2026-08-07,
Q9H8X9,surface,33,vocabulary,local,local,,int8,64,765,v2-ruled-vocabulary-2026-08-07,
Q8TD43,non_surface,35,vocabulary,local,local,,int8,64,766,v2-ruled-vocabulary-2026-08-07,
O94772,surface,89,gpi_rule_A,local,local,,int8,64,767,v2-ruled-vocabulary-2026-08-07,
Q685J3,surface,4368,vocabulary,above_local,rental,over_local_ceiling,fp16,64,768,v2-ruled-vocabulary-2026-08-07,
Q8NBZ7,non_surface,380,vocabulary,local,local,,int8,64,769,v2-ruled-vocabulary-2026-08-07,
Q9P296,surface,38,vocabulary,local,local,,int8,64,770,v2-ruled-vocabulary-2026-08-07,
Q96K19,non_surface,24,vocabulary,local,local,,int8,64,771,v2-ruled-vocabulary-2026-08-07,
Q8NGD2,surface,37,vocabulary,local,local,,int8,64,772,v2-ruled-vocabulary-2026-08-07,
Q96JA1,surface,760,vocabulary,above_local,rental,over_local_ceiling,fp16,64,773,v2-ruled-vocabulary-2026-08-07,
Q9BXS9,surface,50,vocabulary,local,local,,int8,64,774,v2-ruled-vocabulary-2026-08-07,
P28068,surface,200,vocabulary,local,local,,int8,64,775,v2-ruled-vocabulary-2026-08-07,
P23634,surface,37,vocabulary,local,local,,int8,64,776,v2-ruled-vocabulary-2026-08-07,
P55011,surface,57,vocabulary,local,local,,int8,64,777,v2-ruled-vocabulary-2026-08-07,
P51787,non_surface,16,vocabulary,local,local,,int8,64,778,v2-ruled-vocabulary-2026-08-07,
Q92953,non_surface,20,vocabulary,local,local,,int8,64,779,v2-ruled-vocabulary-2026-08-07,
P01909,surface,193,vocabulary,local,local,,int8,64,780,v2-ruled-vocabulary-2026-08-07,
P16471,surface,210,vocabulary,local,local,,int8,64,781,v2-ruled-vocabulary-2026-08-07,
Q9H208,surface,37,vocabulary,local,local,,int8,64,782,v2-ruled-vocabulary-2026-08-07,
Q53RT3,non_surface,267,vocabulary,local,local,,int8,64,783,v2-ruled-vocabulary-2026-08-07,
Q9BYH1,non_surface,930,vocabulary,above_local,rental,over_local_ceiling,fp16,64,784,v2-ruled-vocabulary-2026-08-07,
Q8IV45,non_surface,10,vocabulary,local,local,,int8,64,785,v2-ruled-vocabulary-2026-08-07,
Q9Y493,surface,2740,vocabulary,above_local,rental,over_local_ceiling,fp16,64,786,v2-ruled-vocabulary-2026-08-07,
Q96J42,surface,289,vocabulary,local,local,,int8,64,787,v2-ruled-vocabulary-2026-08-07,
Q6IFN5,surface,43,vocabulary,local,local,,int8,64,788,v2-ruled-vocabulary-2026-08-07,
O75712,surface,38,vocabulary,local,local,,int8,64,789,v2-ruled-vocabulary-2026-08-07,
Q9Y5I2,surface,667,vocabulary,above_local,rental,over_local_ceiling,fp16,64,790,v2-ruled-vocabulary-2026-08-07,
Q8NHC4,surface,36,vocabulary,local,local,,int8,64,791,v2-ruled-vocabulary-2026-08-07,
Q9BZR6,surface,420,gpi_rule_A,local,local,,int8,64,792,v2-ruled-vocabulary-2026-08-07,
Q86WK7,surface,364,vocabulary,local,local,,int8,64,793,v2-ruled-vocabulary-2026-08-07,
Q8TBG9,surface,56,vocabulary,local,local,,int8,64,794,v2-ruled-vocabulary-2026-08-07,
A6ND48,surface,27,vocabulary,local,local,,int8,64,795,v2-ruled-vocabulary-2026-08-07,
P41146,surface,48,vocabulary,local,local,,int8,64,796,v2-ruled-vocabulary-2026-08-07,
Q15842,non_surface,32,vocabulary,local,local,,int8,64,797,v2-ruled-vocabulary-2026-08-07,
Q96R28,surface,37,vocabulary,local,local,,int8,64,798,v2-ruled-vocabulary-2026-08-07,
P26006,surface,959,vocabulary,above_local,rental,over_local_ceiling,fp16,64,799,v2-ruled-vocabulary-2026-08-07,
Q9NZP2,surface,37,vocabulary,local,local,,int8,64,800,v2-ruled-vocabulary-2026-08-07,
Q8NFJ5,surface,33,vocabulary,local,local,,int8,64,801,v2-ruled-vocabulary-2026-08-07,
Q8IZK6,non_surface,202,vocabulary,local,local,,int8,64,802,v2-ruled-vocabulary-2026-08-07,
P09958,surface,608,vocabulary,untested_band,rental,unmeasured_local_ceiling,fp16,64,803,v2-ruled-vocabulary-2026-08-07,
Q8NH69,surface,36,vocabulary,local,local,,int8,64,804,v2-ruled-vocabulary-2026-08-07,
Q86SR1,non_surface,572,vocabulary,untested_band,rental,unmeasured_local_ceiling,fp16,64,805,v2-ruled-vocabulary-2026-08-07,
O14581,surface,37,vocabulary,local,local,,int8,64,806,v2-ruled-vocabulary-2026-08-07,
Q9C0C4,surface,643,vocabulary,above_local,rental,over_local_ceiling,fp16,64,807,v2-ruled-vocabulary-2026-08-07,
O75056,non_surface,387,vocabulary,local,local,,int8,64,808,v2-ruled-vocabulary-2026-08-07,
Q9Y5E4,surface,659,vocabulary,above_local,rental,over_local_ceiling,fp16,64,809,v2-ruled-vocabulary-2026-08-07,
Q8N4S9,non_surface,16,vocabulary,local,local,,int8,64,810,v2-ruled-vocabulary-2026-08-07,
P10721,surface,499,vocabulary,untested_band,rental,unmeasured_local_ceiling,fp16,64,811,v2-ruled-vocabulary-2026-08-07,
Q6UY09,surface,420,vocabulary,local,local,,int8,64,812,v2-ruled-vocabulary-2026-08-07,
Q13641,surface,324,vocabulary,local,local,,int8,64,813,v2-ruled-vocabulary-2026-08-07,
Q9ULH0,non_surface,5,vocabulary,local,local,,int8,64,814,v2-ruled-vocabulary-2026-08-07,
Q9HCF6,non_surface,55,vocabulary,local,local,,int8,64,815,v2-ruled-vocabulary-2026-08-07,
Q9UHX3,surface,517,vocabulary,untested_band,rental,unmeasured_local_ceiling,fp16,64,816,v2-ruled-vocabulary-2026-08-07,
Q00765,non_surface,2,vocabulary,local,local,,int8,64,817,v2-ruled-vocabulary-2026-08-07,
Q8NGA2,surface,37,vocabulary,local,local,,int8,64,818,v2-ruled-vocabulary-2026-08-07,
Q12836,surface,487,vocabulary,untested_band,rental,unmeasured_local_ceiling,fp16,64,819,v2-ruled-vocabulary-2026-08-07,
Q96RA2,surface,37,vocabulary,local,local,,int8,64,820,v2-ruled-vocabulary-2026-08-07,
Q8N2K1,non_surface,12,vocabulary,local,local,,int8,64,821,v2-ruled-vocabulary-2026-08-07,
P59534,surface,30,vocabulary,local,local,,int8,64,822,v2-ruled-vocabulary-2026-08-07,
Q96G23,non_surface,40,vocabulary,local,local,,int8,64,823,v2-ruled-vocabulary-2026-08-07,
O75908,non_surface,20,vocabulary,local,local,,int8,64,824,v2-ruled-vocabulary-2026-08-07,
Q8TCP9,non_surface,513,vocabulary,untested_band,rental,unmeasured_local_ceiling,fp16,64,825,v2-ruled-vocabulary-2026-08-07,
P56975,non_surface,360,vocabulary,local,local,,int8,64,826,v2-ruled-vocabulary-2026-08-07,
P08173,surface,31,vocabulary,local,local,,int8,64,827,v2-ruled-vocabulary-2026-08-07,
Q96PG2,non_surface,29,vocabulary,local,local,,int8,64,828,v2-ruled-vocabulary-2026-08-07,
Q99720,non_surface,9,vocabulary,local,local,,int8,64,829,v2-ruled-vocabulary-2026-08-07,
O43194,surface,45,vocabulary,local,local,,int8,64,830,v2-ruled-vocabulary-2026-08-07,
P53816,non_surface,8,vocabulary,local,local,,int8,64,831,v2-ruled-vocabulary-2026-08-07,
Q8WUX1,surface,44,vocabulary,local,local,,int8,64,832,v2-ruled-vocabulary-2026-08-07,
Q53FV1,non_surface,27,vocabulary,local,local,,int8,64,833,v2-ruled-vocabulary-2026-08-07,
Q9Y487,surface,74,vocabulary,local,local,,int8,64,834,v2-ruled-vocabulary-2026-08-07,
Q8NGM8,surface,36,vocabulary,local,local,,int8,64,835,v2-ruled-vocabulary-2026-08-07,
O94905,non_surface,315,vocabulary,local,local,,int8,64,836,v2-ruled-vocabulary-2026-08-07,
Q6P1J6,surface,1396,vocabulary,above_local,rental,over_local_ceiling,fp16,64,837,v2-ruled-vocabulary-2026-08-07,
Q9H209,surface,37,vocabulary,local,local,,int8,64,838,v2-ruled-vocabulary-2026-08-07,
Q9BVA6,non_surface,414,vocabulary,local,local,,int8,64,839,v2-ruled-vocabulary-2026-08-07,
Q5R3K3,non_surface,42,vocabulary,local,local,,int8,64,840,v2-ruled-vocabulary-2026-08-07,
P58550,non_surface,16,vocabulary,local,local,,int8,64,841,v2-ruled-vocabulary-2026-08-07,
Q8NGB6,surface,37,vocabulary,local,local,,int8,64,842,v2-ruled-vocabulary-2026-08-07,
Q9NNX6,non_surface,346,vocabulary,local,local,,int8,64,843,v2-ruled-vocabulary-2026-08-07,
Q8TED1,non_surface,169,vocabulary,local,local,,int8,64,844,v2-ruled-vocabulary-2026-08-07,
Q7Z3F1,surface,38,vocabulary,local,local,,int8,64,845,v2-ruled-vocabulary-2026-08-07,
Q8NGS8,surface,37,vocabulary,local,local,,int8,64,846,v2-ruled-vocabulary-2026-08-07,
Q9Y644,non_surface,302,vocabulary,local,local,,int8,64,847,v2-ruled-vocabulary-2026-08-07,
Q9Y661,non_surface,397,vocabulary,local,local,,int8,64,848,v2-ruled-vocabulary-2026-08-07,
O95857,surface,74,vocabulary,local,local,,int8,64,849,v2-ruled-vocabulary-2026-08-07,
O95490,surface,826,vocabulary,above_local,rental,over_local_ceiling,fp16,64,850,v2-ruled-vocabulary-2026-08-07,
Q9Y2C9,surface,555,vocabulary,untested_band,rental,unmeasured_local_ceiling,fp16,64,851,v2-ruled-vocabulary-2026-08-07,
P20273,surface,668,vocabulary,above_local,rental,over_local_ceiling,fp16,64,852,v2-ruled-vocabulary-2026-08-07,
Q09327,non_surface,510,vocabulary,untested_band,rental,unmeasured_local_ceiling,fp16,64,853,v2-ruled-vocabulary-2026-08-07,
Q7Z3Q1,surface,48,vocabulary,local,local,,int8,64,854,v2-ruled-vocabulary-2026-08-07,
Q9UHC6,surface,1235,vocabulary,above_local,rental,over_local_ceiling,fp16,64,855,v2-ruled-vocabulary-2026-08-07,
P34982,surface,38,vocabulary,local,local,,int8,64,856,v2-ruled-vocabulary-2026-08-07,
P47888,surface,38,vocabulary,local,local,,int8,64,857,v2-ruled-vocabulary-2026-08-07,
Q8NGJ0,surface,37,vocabulary,local,local,,int8,64,858,v2-ruled-vocabulary-2026-08-07,
Q30154,surface,198,vocabulary,local,local,,int8,64,859,v2-ruled-vocabulary-2026-08-07,
Q8NH51,surface,37,vocabulary,local,local,,int8,64,860,v2-ruled-vocabulary-2026-08-07,
Q8NH05,surface,37,vocabulary,local,local,,int8,64,861,v2-ruled-vocabulary-2026-08-07,
Q7Z4F1,surface,424,vocabulary,local,local,,int8,64,862,v2-ruled-vocabulary-2026-08-07,
Q8IX05,surface,146,vocabulary,local,local,,int8,64,863,v2-ruled-vocabulary-2026-08-07,
Q9Y6R1,surface,83,vocabulary,local,local,,int8,64,864,v2-ruled-vocabulary-2026-08-07,
O43497,surface,136,vocabulary,local,local,,int8,64,865,v2-ruled-vocabulary-2026-08-07,
Q92956,surface,164,vocabulary,local,local,,int8,64,866,v2-ruled-vocabulary-2026-08-07,
P08571,surface,325,gpi_rule_A,local,local,,int8,64,867,v2-ruled-vocabulary-2026-08-07,chain_end_exceeds_anchor
Q86VH4,surface,394,vocabulary,local,local,,int8,64,868,v2-ruled-vocabulary-2026-08-07,
P08887,surface,346,vocabulary,local,local,,int8,64,869,v2-ruled-vocabulary-2026-08-07,
Q8NGR3,surface,38,vocabulary,local,local,,int8,64,870,v2-ruled-vocabulary-2026-08-07,
Q8NGL1,surface,36,vocabulary,local,local,,int8,64,871,v2-ruled-vocabulary-2026-08-07,
P30556,surface,25,vocabulary,local,local,,int8,64,872,v2-ruled-vocabulary-2026-08-07,
Q01814,surface,37,vocabulary,local,local,,int8,64,873,v2-ruled-vocabulary-2026-08-07,
P59646,non_surface,18,vocabulary,local,local,,int8,64,874,v2-ruled-vocabulary-2026-08-07,
O60741,non_surface,26,vocabulary,local,local,,int8,64,875,v2-ruled-vocabulary-2026-08-07,
Q08357,surface,27,vocabulary,local,local,,int8,64,876,v2-ruled-vocabulary-2026-08-07,
Q15760,surface,69,vocabulary,local,local,,int8,64,877,v2-ruled-vocabulary-2026-08-07,
P21145,non_surface,11,vocabulary,local,local,,int8,64,878,v2-ruled-vocabulary-2026-08-07,
Q9P0X4,surface,145,vocabulary,local,local,,int8,64,879,v2-ruled-vocabulary-2026-08-07,
P29317,surface,514,vocabulary,untested_band,rental,unmeasured_local_ceiling,fp16,64,880,v2-ruled-vocabulary-2026-08-07,
Q9GZX3,non_surface,369,vocabulary,local,local,,int8,64,881,v2-ruled-vocabulary-2026-08-07,
Q15620,surface,37,vocabulary,local,local,,int8,64,882,v2-ruled-vocabulary-2026-08-07,
P51677,surface,34,vocabulary,local,local,,int8,64,883,v2-ruled-vocabulary-2026-08-07,
Q8NGF1,surface,36,vocabulary,local,local,,int8,64,884,v2-ruled-vocabulary-2026-08-07,
O15455,surface,681,vocabulary,above_local,rental,over_local_ceiling,fp16,64,885,v2-ruled-vocabulary-2026-08-07,
Q04771,surface,103,vocabulary,local,local,,int8,64,886,v2-ruled-vocabulary-2026-08-07,
A6NHG9,surface,31,vocabulary,local,local,,int8,64,887,v2-ruled-vocabulary-2026-08-07,
Q8NGB9,surface,37,vocabulary,local,local,,int8,64,888,v2-ruled-vocabulary-2026-08-07,
P48039,surface,29,vocabulary,local,local,,int8,64,889,v2-ruled-vocabulary-2026-08-07,
Q9ULK6,surface,174,vocabulary,local,local,,int8,64,890,v2-ruled-vocabulary-2026-08-07,
Q16586,surface,267,vocabulary,local,local,,int8,64,891,v2-ruled-vocabulary-2026-08-07,
Q6UWI2,surface,238,vocabulary,local,local,,int8,64,892,v2-ruled-vocabulary-2026-08-07,
P14672,surface,36,vocabulary,local,local,,int8,64,893,v2-ruled-vocabulary-2026-08-07,
O14843,surface,25,vocabulary,local,local,,int8,64,894,v2-ruled-vocabulary-2026-08-07,
P61565,surface,543,vocabulary,untested_band,rental,unmeasured_local_ceiling,fp16,64,895,v2-ruled-vocabulary-2026-08-07,
Q9NUN5,surface,57,vocabulary,local,local,,int8,64,896,v2-ruled-vocabulary-2026-08-07,
Q7Z6L0,non_surface,2,vocabulary,local,local,,int8,64,897,v2-ruled-vocabulary-2026-08-07,
Q9Y6N7,surface,872,vocabulary,above_local,rental,over_local_ceiling,fp16,64,898,v2-ruled-vocabulary-2026-08-07,
A3KFT3,surface,37,vocabulary,local,local,,int8,64,899,v2-ruled-vocabulary-2026-08-07,
Q8TCT7,surface,149,vocabulary,local,local,,int8,64,900,v2-ruled-vocabulary-2026-08-07,
O60245,surface,851,vocabulary,above_local,rental,over_local_ceiling,fp16,64,901,v2-ruled-vocabulary-2026-08-07,
P25090,surface,29,vocabulary,local,local,,int8,64,902,v2-ruled-vocabulary-2026-08-07,
Q8NGN0,surface,37,vocabulary,local,local,,int8,64,903,v2-ruled-vocabulary-2026-08-07,
Q9NSC7,non_surface,565,vocabulary,untested_band,rental,unmeasured_local_ceiling,fp16,64,904,v2-ruled-vocabulary-2026-08-07,
Q8NH93,surface,38,vocabulary,local,local,,int8,64,905,v2-ruled-vocabulary-2026-08-07,
P24530,surface,75,vocabulary,local,local,,int8,64,906,v2-ruled-vocabulary-2026-08-07,
Q9H2S6,non_surface,267,vocabulary,local,local,,int8,64,907,v2-ruled-vocabulary-2026-08-07,
O14817,surface,95,vocabulary,local,local,,int8,64,908,v2-ruled-vocabulary-2026-08-07,
Q01638,surface,310,vocabulary,local,local,,int8,64,909,v2-ruled-vocabulary-2026-08-07,
Q86W47,surface,127,vocabulary,local,local,,int8,64,910,v2-ruled-vocabulary-2026-08-07,
Q07065,non_surface,475,vocabulary,untested_band,rental,unmeasured_local_ceiling,fp16,64,911,v2-ruled-vocabulary-2026-08-07,
P11229,surface,22,vocabulary,local,local,,int8,64,912,v2-ruled-vocabulary-2026-08-07,
Q14833,surface,555,vocabulary,untested_band,rental,unmeasured_local_ceiling,fp16,64,913,v2-ruled-vocabulary-2026-08-07,
Q13873,surface,124,vocabulary,local,local,,int8,64,914,v2-ruled-vocabulary-2026-08-07,
Q9H9S5,surface,466,vocabulary,untested_band,rental,unmeasured_local_ceiling,fp16,64,915,v2-ruled-vocabulary-2026-08-07,
Q9C0E8,non_surface,11,vocabulary,local,local,,int8,64,916,v2-ruled-vocabulary-2026-08-07,
Q9NQZ7,non_surface,497,vocabulary,untested_band,rental,unmeasured_local_ceiling,fp16,64,917,v2-ruled-vocabulary-2026-08-07,
P42261,surface,518,vocabulary,untested_band,rental,unmeasured_local_ceiling,fp16,64,918,v2-ruled-vocabulary-2026-08-07,
O43603,surface,28,vocabulary,local,local,,int8,64,919,v2-ruled-vocabulary-2026-08-07,
Q9Y5U5,surface,137,vocabulary,local,local,,int8,64,920,v2-ruled-vocabulary-2026-08-07,
P51810,surface,28,vocabulary,local,local,,int8,64,921,v2-ruled-vocabulary-2026-08-07,
Q9Y5Q5,surface,976,vocabulary,above_local,rental,over_local_ceiling,fp16,64,922,v2-ruled-vocabulary-2026-08-07,
Q96K78,surface,412,vocabulary,local,local,,int8,64,923,v2-ruled-vocabulary-2026-08-07,
Q9Y6M5,surface,39,vocabulary,local,local,,int8,64,924,v2-ruled-vocabulary-2026-08-07,
Q8IZU9,surface,514,vocabulary,untested_band,rental,unmeasured_local_ceiling,fp16,64,925,v2-ruled-vocabulary-2026-08-07,
Q9NW15,non_surface,79,vocabulary,local,local,,int8,64,926,v2-ruled-vocabulary-2026-08-07,
Q9H2H9,surface,38,vocabulary,local,local,,int8,64,927,v2-ruled-vocabulary-2026-08-07,
Q7Z3T1,surface,37,vocabulary,local,local,,int8,64,928,v2-ruled-vocabulary-2026-08-07,
Q8TDV0,surface,41,vocabulary,local,local,,int8,64,929,v2-ruled-vocabulary-2026-08-07,
P47871,surface,111,vocabulary,local,local,,int8,64,930,v2-ruled-vocabulary-2026-08-07,
Q8IXU6,non_surface,15,vocabulary,local,local,,int8,64,931,v2-ruled-vocabulary-2026-08-07,
Q9HBW0,surface,30,vocabulary,local,local,,int8,64,932,v2-ruled-vocabulary-2026-08-07,
Q96SJ8,surface,119,vocabulary,local,local,,int8,64,933,v2-ruled-vocabulary-2026-08-07,
Q5XXA6,surface,87,vocabulary,local,local,,int8,64,934,v2-ruled-vocabulary-2026-08-07,
Q96E93,surface,136,vocabulary,local,local,,int8,64,935,v2-ruled-vocabulary-2026-08-07,
Q6DN72,surface,288,vocabulary,local,local,,int8,64,936,v2-ruled-vocabulary-2026-08-07,
O94966,non_surface,6,vocabulary,local,local,,int8,64,937,v2-ruled-vocabulary-2026-08-07,
Q53GD3,surface,174,vocabulary,local,local,,int8,64,938,v2-ruled-vocabulary-2026-08-07,
Q9Y653,surface,376,vocabulary,local,local,,int8,64,939,v2-ruled-vocabulary-2026-08-07,
O14494,surface,49,vocabulary,local,local,,int8,64,940,v2-ruled-vocabulary-2026-08-07,
O14944,surface,60,vocabulary,local,local,,int8,64,941,v2-ruled-vocabulary-2026-08-07,
Q69384,surface,543,vocabulary,untested_band,rental,unmeasured_local_ceiling,fp16,64,942,v2-ruled-vocabulary-2026-08-07,
Q9Y5H4,surface,664,vocabulary,above_local,rental,over_local_ceiling,fp16,64,943,v2-ruled-vocabulary-2026-08-07,
Q5J8M3,non_surface,35,vocabulary,local,local,,int8,64,944,v2-ruled-vocabulary-2026-08-07,
Q7Z5H5,surface,38,vocabulary,local,local,,int8,64,945,v2-ruled-vocabulary-2026-08-07,
O75096,surface,1705,vocabulary,above_local,rental,over_local_ceiling,fp16,64,946,v2-ruled-vocabulary-2026-08-07,
P57679,non_surface,25,vocabulary,local,local,,int8,64,947,v2-ruled-vocabulary-2026-08-07,
Q5SGD2,non_surface,25,vocabulary,local,local,,int8,64,948,v2-ruled-vocabulary-2026-08-07,
Q9Y585,surface,37,vocabulary,local,local,,int8,64,949,v2-ruled-vocabulary-2026-08-07,
A6NJW9,surface,152,vocabulary,local,local,,int8,64,950,v2-ruled-vocabulary-2026-08-07,
Q9NPY3,surface,557,vocabulary,untested_band,rental,unmeasured_local_ceiling,fp16,64,951,v2-ruled-vocabulary-2026-08-07,
Q8NHC5,surface,42,vocabulary,local,local,,int8,64,952,v2-ruled-vocabulary-2026-08-07,
Q8NGX3,surface,37,vocabulary,local,local,,int8,64,953,v2-ruled-vocabulary-2026-08-07,
O95274,surface,295,gpi_rule_A,local,local,,int8,64,954,v2-ruled-vocabulary-2026-08-07,
P51654,surface,529,gpi_rule_A,untested_band,rental,unmeasured_local_ceiling,fp16,64,955,v2-ruled-vocabulary-2026-08-07,chain_start_ambiguous
Q9H400,non_surface,6,vocabulary,local,local,,int8,64,956,v2-ruled-vocabulary-2026-08-07,
A6NI73,surface,227,vocabulary,local,local,,int8,64,957,v2-ruled-vocabulary-2026-08-07,
Q9NQN1,surface,37,vocabulary,local,local,,int8,64,958,v2-ruled-vocabulary-2026-08-07,
P42081,surface,224,vocabulary,local,local,,int8,64,959,v2-ruled-vocabulary-2026-08-07,
O95562,non_surface,6,vocabulary,local,local,,int8,64,960,v2-ruled-vocabulary-2026-08-07,
P21554,surface,116,vocabulary,local,local,,int8,64,961,v2-ruled-vocabulary-2026-08-07,
Q6UX27,surface,119,vocabulary,local,local,,int8,64,962,v2-ruled-vocabulary-2026-08-07,
Q9H346,surface,36,vocabulary,local,local,,int8,64,963,v2-ruled-vocabulary-2026-08-07,
Q9P0T7,surface,69,vocabulary,local,local,,int8,64,964,v2-ruled-vocabulary-2026-08-07,
Q13621,surface,112,vocabulary,local,local,,int8,64,965,v2-ruled-vocabulary-2026-08-07,
P15509,surface,298,vocabulary,local,local,,int8,64,966,v2-ruled-vocabulary-2026-08-07,
Q8NH43,surface,37,vocabulary,local,local,,int8,64,967,v2-ruled-vocabulary-2026-08-07,
Q9BRK3,surface,322,vocabulary,local,local,,int8,64,968,v2-ruled-vocabulary-2026-08-07,
Q93033,surface,934,vocabulary,above_local,rental,over_local_ceiling,fp16,64,969,v2-ruled-vocabulary-2026-08-07,
Q6UXZ4,surface,347,vocabulary,local,local,,int8,64,970,v2-ruled-vocabulary-2026-08-07,
Q8IZF2,surface,985,vocabulary,above_local,rental,over_local_ceiling,fp16,64,971,v2-ruled-vocabulary-2026-08-07,
P04839,surface,45,vocabulary,local,local,,int8,64,972,v2-ruled-vocabulary-2026-08-07,
Q8NGD4,surface,37,vocabulary,local,local,,int8,64,973,v2-ruled-vocabulary-2026-08-07,
Q6ZNR0,non_surface,97,vocabulary,local,local,,int8,64,974,v2-ruled-vocabulary-2026-08-07,
P28336,surface,41,vocabulary,local,local,,int8,64,975,v2-ruled-vocabulary-2026-08-07,
O71037,surface,543,vocabulary,untested_band,rental,unmeasured_local_ceiling,fp16,64,976,v2-ruled-vocabulary-2026-08-07,
O60704,non_surface,352,vocabulary,local,local,,int8,64,977,v2-ruled-vocabulary-2026-08-07,
Q9BZJ7,surface,27,vocabulary,local,local,,int8,64,978,v2-ruled-vocabulary-2026-08-07,
Q15035,non_surface,32,vocabulary,local,local,,int8,64,979,v2-ruled-vocabulary-2026-08-07,
Q8N5M9,non_surface,20,vocabulary,local,local,,int8,64,980,v2-ruled-vocabulary-2026-08-07,
Q8NGT2,surface,37,vocabulary,local,local,,int8,64,981,v2-ruled-vocabulary-2026-08-07,
Q8NGY6,surface,37,vocabulary,local,local,,int8,64,982,v2-ruled-vocabulary-2026-08-07,
P19075,surface,96,vocabulary,local,local,,int8,64,983,v2-ruled-vocabulary-2026-08-07,
Q9BXB1,surface,520,vocabulary,untested_band,rental,unmeasured_local_ceiling,fp16,64,984,v2-ruled-vocabulary-2026-08-07,
Q8NE00,surface,37,vocabulary,local,local,,int8,64,985,v2-ruled-vocabulary-2026-08-07,
Q15109,surface,320,vocabulary,local,local,,int8,64,986,v2-ruled-vocabulary-2026-08-07,
P24390,non_surface,10,vocabulary,local,local,,int8,64,987,v2-ruled-vocabulary-2026-08-07,
Q13224,surface,529,vocabulary,untested_band,rental,unmeasured_local_ceiling,fp16,64,988,v2-ruled-vocabulary-2026-08-07,
Q8NH53,surface,36,vocabulary,local,local,,int8,64,989,v2-ruled-vocabulary-2026-08-07,
Q99677,surface,43,vocabulary,local,local,,int8,64,990,v2-ruled-vocabulary-2026-08-07,
Q96N87,surface,88,vocabulary,local,local,,int8,64,991,v2-ruled-vocabulary-2026-08-07,
Q8NF37,non_surface,456,vocabulary,untested_band,rental,unmeasured_local_ceiling,fp16,64,992,v2-ruled-vocabulary-2026-08-07,
Q495A1,surface,120,vocabulary,local,local,,int8,64,993,v2-ruled-vocabulary-2026-08-07,
Q9H5I5,surface,248,vocabulary,local,local,,int8,64,994,v2-ruled-vocabulary-2026-08-07,
Q8N126,surface,306,vocabulary,local,local,,int8,64,995,v2-ruled-vocabulary-2026-08-07,
Q8NGT7,surface,37,vocabulary,local,local,,int8,64,996,v2-ruled-vocabulary-2026-08-07,
O60831,non_surface,3,vocabulary,local,local,,int8,64,997,v2-ruled-vocabulary-2026-08-07,
P07333,surface,498,vocabulary,untested_band,rental,unmeasured_local_ceiling,fp16,64,998,v2-ruled-vocabulary-2026-08-07,
Q9HAR2,surface,843,vocabulary,above_local,rental,over_local_ceiling,fp16,64,999,v2-ruled-vocabulary-2026-08-07,
P41143,surface,47,vocabulary,local,local,,int8,64,1000,v2-ruled-vocabulary-2026-08-07,
P18827,surface,232,vocabulary,local,local,,int8,64,1001,v2-ruled-vocabulary-2026-08-07,
O60423,non_surface,27,vocabulary,local,local,,int8,64,1002,v2-ruled-vocabulary-2026-08-07,
